name|artist|genre|lyrics
I'm Goin In|Drake|hip-hop-rap-trap|"
yeah
uh-huh
um, uh-huh
okay


hello mothafucka, hey, hi, how ya durrn'?
it's weezy f baby, come to take a shit and urine
on these toilet bowl bitches, pussy ass niggas
stomping on this beat like a motherfucking sigma
bad to the bristle, hat to the rizzle
i'm so official, all i need is a whistle
bitch named crystal, let her suck my pistol
she open up her mouth and then i blow her brains out
you ain't met a nigga like me, you probably never will
riders rollin' with me, like 11 wheels
find out where you livin', kill you in the kitchen
the feds tryin' to clip us, but we ain't even trippin'


i'm goin' in, i'm goin' in
i'm goin' in, i'm goin' in
and i'ma go hard, and i'ma go hard
and i'ma go hard, and i'ma go hard
bitch i'm goin' in, i'm goin' in
i'm goin' in, i'm goin' in
and i'ma go hard, and i'ma go hard
and i'ma go hard, and i'ma go hard


first off, you know what it is if you heard drake
making hoes wobble like a bridge in a earthquake
never see me out 'cause i live in my workplace
i'll give you the business, so button up your shirt straight
look at where i landed, you would think i planned it
i'm just doing me and you could never understand it
chicks get hammered, big-dicked bandit
money flowin' like a slit wrist, no bandage
blowin' purple clouds, nigga i'm so sky high
i ain't cuttin' anybody slices out of my pie
out of this world though, i'm so sci-fi
and i don't sit still, i keep it moving like a drive-by
i just tell the truth and so i'm cool in every hood spot
21 years and i ain't ever met a good cop
me and wayne lean like kareem doin' hook shots
cover me, i'm goin' in, and buckin' when the hook drop


i'm goin' in, i'm goin' in
i'm goin' in, i'm goin' in
and i'ma go hard, and i'ma go hard
and i'ma go hard, and i'ma go hard
bitch i'm goin' in, i'm goin' in
i'm goin' in, i'm goin' in
and i'ma go hard, and i'ma go hard
and i'ma go hard, and i'ma go hard


it goes, hold up, wait one motherfuckin' minute
it's the el capitan, i got motherfuckin' lieutenants
and if i said ""i'm goin' in"" then i motherfuckin' meant it
and if i brought it in the club then i'ma motherfuckin' spend it
cost a few hundred bands and i'm motherfuckin' in it
no need for a room, yeah you know i'm fuckin' in it
she actin' like she not, but she know she fuckin' winnin'
she said ""i seen it all"", i say ""no you fuckin' didn't""
you ever bust ten nuts in a two-seater?
she said ""i can't feel my legs"", i'm like ""bitch, me neither""
i'm goin' in, where should i begin?
i don't even know, maybe where my blunt ends
and i'ma be a legend even when my life end
and i'ma be a legend even when this night ends
yeah i do my thang, hop up out it like bem!
bitch, i said i'm him, so i'm nothin' like them


i'm goin' in, i'm goin' in
i'm goin' in, i'm goin' in
and i'ma go hard, and i'ma go hard
and i'ma go hard, and i'ma go hard
bitch i'm goin' in, i'm goin' in
i'm goin' in, i'm goin' in
and i'ma go hard, and i'ma go hard
and i'ma go hard, and i'ma go hard"
ULT|Denzel Curry|hip-hop-rap-trap|"
this is the wrath of aquarius
i am the black metal terrorist, ain't no comparison
humanitarian, bitch i'm a veteran
better than anyone comprehend
snake in the grass, cut the copperhead
hollow-tips point at a copper' head
drop a head, popping the glock till the copper dead
but bishop killed radames
that is the biggest hypocrisy
i don't see nobody stopping me
boy, your whole life is a mockery
a militant mind of the million
civilian, i am the realest, bitch
no gilligan put me on an island
smoking on an island 'til a nigga look thailand
spread through your crew like a motherfucking virus
cloud 9 confederate, breaking up barriers
federation in your area
if i'm a bitch then i guess you a pussy, and pussies are scared of a terrier (woof)
run all your paper, killer curry keep on catching the caper
dominating common denominator
aftermath you can just do the math later, as a teenager
i was an underdog under the raiders, valuable player
young bo jackson slammin' packs with a passion
satisfaction with the lack of compassion
it's a maverick hella gaspin', but actually
i am that nigga entirely
the same ones that inspire me be the same ones that wanna retire me, nigga


in the night time, keep me out of sight, it's the poltergeist
when i'm ghost, i'mma cut the line, now you outta mind
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)
in the night time, keep me out of sight, it's the poltergeist
when i'm ghost, i'mma cut the line, now you outta mind
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)


mystical miracle, i build imperial
i'm analytical, why lotto had to be off to the clinical
now we're identical, black individual, no biochemical
serve, fuck the cops they the opposition
and these halfway niggas and these halfway hoes
wanna be buddy-buddy they see you at a show
but be the main ones that be hating on the low
wait, that's just irrelevant, they got the fact when you look at my melanin, woah
cops killin' niggas, niggas killin' brothas, niggas hate each other
don't know, where the fuck they came from
we the ones that paid dues
i don't watch fox news, don't mean that all my foxes sly
find a little white girl, but let you die
gun like a veteran, breakin' off barriers, they just might call me a terrorist
better get caught with it than without it if i keep it concealed when i carry it, i
put them on paper, send them to prison and give them free labor
separate everyone, make sure they neighbors
aftermath, after that, we can laugh later
fuck all my haters
i raise up black fists as black as the raiders
arming the gators
federation is my organization
all relation, no religion, no races
black to asian we the nation of u.l.t
true to you so keep it true to me
haters cannot put an end to me because i truly know who is my enemy, nigga


in the night time, keep me out of sight, it's the poltergeist
when i'm ghost, i'mma cut the line, now you outta mind
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)
in the night time, keep me out of sight, it's the poltergeist
when i'm ghost, i'mma cut the line, now you outta mind
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)
y'all niggas ain't u.l.t. (ultimate)


(laughter)
i. m. perial"
Ten Crack Commandments|The Notorious B.I.G.|hip-hop-rap-trap|"
1, 2, 3, 4, 5, 6, 7, 8, 9


it's the ten crack commandments, what?
nigga can't tell me nothing about this coke
can't tell me nothing about this crack, this weed, for my hustlin' niggas
niggas on the corner i ain't forget you niggas, my triple beam niggas


i've been in this game for years, it made me a animal
there's rules to this shit, i wrote me a manual
a step-by-step booklet for you to get
your game on track, not your wig pushed back
rule nombre uno: never let no one know
how much dough you hold cause you know
the cheddar breed jealousy 'specially
if that man fucked up, get yo' ass stuck up
number 2: never let 'em know your next move
don't you know bad boys move in silence and violence?
take it from your highness
i done squeezed mad clips at these cats for they bricks and chips
number 3: never trust nobody
your moms'll set that ass up, properly gassed up
hoodied and masked up, shit, for that fast buck
she be laying in the bushes to light that ass up
number 4: i know you heard this before
""never get high on your own supply""
number 5: never sell no crack where you rest at
i don't care if they want a ounce, tell 'em ""bounce!""
number 6: that goddamn credit? forget it
you think a crackhead paying you back, shit forget it!
7: this rule is so underrated
keep your family and business completely separated
money and blood don't mix like two dicks and no bitch
find yourself in serious shit
number 8: never keep no weight on you!
them cats that squeeze your guns can hold jums too
number 9 shoulda been number 1 to me:
if you ain't gettin' bagged stay the fuck from police
if niggas think you snitchin' they ain't tryna to listen
they be sittin' in your kitchen, waiting to start hittin'
number 10: a strong word called ""consignment""
strictly for live men, not for freshmen
if you ain't got the clientele, say ""hell no!""
cause they gon' want they money rain sleet hail snow
follow these rules you'll have mad bread to break up
if not, 24 years on the wake up
slug hit your temple, watch your frame shake up
caretaker did your makeup, when you passed
your girl fucked my man jake up
heard in three weeks she sniffed a whole half a cake up
heard she suck a good dick, and can hook a steak up
gotta go gotta go, more pies to bake up, word up

crack king, frank wiz-zhite


(1, 2, 3, 5, 6, 7, 8
1, 1, 2, 3, 4, 5
1, 1, 1, 1, 1, 2, 3, 4, 4, 5
1, 2, 3, 4, 5, 6, 7, 8, 9
10.......10)"
Once an Addict|J. Cole|hip-hop-rap-trap|"
right, right, right, right
something's got a hold on me
right, right, right, right
sometimes i think pain is just a lack of understanding
if we could only understand it all, would we feel no pain?
god must feel no pain
something's got a hold on me
only joy
does this mean even our suffering pleases him?


lost in a cloud of marijuana
young carolina nigga, fish out of water
step-daddy just had a daughter with another woman
mama ain't recover yet
callin' me at 12 at night
she drunk as fuck and i'm upset
'cause why she always using me for crutch?
growin' up i used to always see her up
late as shit, cigarette smoke and greatest hits from marvin gaye
she kill a whole bottle of some cheap chardonnay
i gotta leave this house 'cause part of me dies when i see her like this
too young to deal with pain
i'd rather run the streets than see her kill herself
so 'ville became my escape from a feelin' i hate
mama cursing me out
depression's such a villainous state
i used to stay out later on purpose
subconsciously i was nervous that if i came home early then what would surface was her inner demons
and then i'd have to end up seein' my hero on ground zero
tears flow while al green blow
love and happiness
i wish that i could say the right words to cheer her up
i wish her son's love was enough
i tell her, ""mama, go to sleep""
she tell me ""boy, hush. you better pray to god you never get your heart crushed""
i shake my head in frustration
head to my room and i can still hear the tunes with my door shut
fuck it though, a couple more months i'll be gone
off to college and dorms
foolin' myself, thinkin' problems are gone
but now it's 1 am and my mama dialin' my phone
i know she intoxicated and soon this high that i'm on comes crashin' down
she lit, talkin' drunk shit, i'm pissed
but i'm still all ears like basset hounds
thinkin' to myself, ""maybe my mama need help
don't she got work in the morning?
why she do this to herself?
hate how she slurrin' her words
soundin' so fuckin' absurd
this ain't the woman i know, why i just sit and observe?
why don't i say how i feel?
when i do, she's defensive for real
well maybe things get better with time, i heard it heals
little did i know how deep her sadness would go
lookin' back, i wish i woulda did more instead of runnin'


something's got a hold on me
i can't let it go
out of fear i won't be free
something's got a hold on me
i can't let it go
out of fear i won't be—
no!
something's got a hold on me
i can't let it go
right
life can bring much pain
there are many ways to deal with this pain (right)
choose wisely (right)"
Money Showers|Fat Joe|hip-hop-rap-trap|"
joe crack, remy ma
this is dolla $ign, oh ya


understand, they gotta understand a nigga
gotta run the town every time i'm in your city
make 'em understand
you know how this shit gon' blow whenever i'm in town
(whenever i'm in town)
yeah, understand, they gotta understand a nigga
gotta run the town every time i'm in your city
make 'em understand
you know how this shit gon' blow whenever i'm in town
(whenever i'm in town)


money showers (ooh yeah)
rain
rain, rain, rain
whole lotta money showers
rain
rain, rain, rain


10 bands for the prettiest bitch
no hands if you really the shit
my nigga pretty lou drop the music, he got something to say
got her staring at the pole like election day
i make it rain on them hoes, i got that amber vision
we in the back of the rolls, her and blac chyna kissing
give me a slice of the cake, i made it shower with dough
that's a whole lotta bread, you know it had to be joe
cathedral ceilings in the crib, got sinners in it
i had bitches eating pussy like it's dinner in it
no lie, see everything gucci, we steady mobbing
who else could turn a stripper into tonya harding?
(crack)


understand, they gotta understand a nigga
gotta run the town every time i'm in your city
make 'em understand
you know how this shit gon' blow whenever i'm in town
(whenever i'm in town)
yeah, understand, they gotta understand a nigga
gotta run the town every time i'm in your city
make 'em understand
you know how this shit gon' blow whenever i'm in town
(whenever i'm in town)


money showers (ooh yeah)
rain
rain, rain, rain
whole lotta money showers
rain
rain, rain, rain


see you gotta understand i'm bad enough to take your husband
bitch, i fuck your man then give him back when i'm done, ugh
front of my pussy on the back of his tongue
i ain't had love for a nigga since what happened to pun
so if he fuck around and i don't happen to cum
nigga, you can be my ex, that's where i'm from
man, these funny style bitches, i be laughing at them
hoes be grabbing his dick, i be grabbing his gun
walking out the court, thumbs up, john gotti
on my '93 biggie shit, bullshit and party
bitch claiming she the queen, what? not hardly
who the fuck gave you your crown, bitch, steve harvey?


understand, they gotta understand a nigga
gotta run the town every time i'm in your city
make 'em understand
you know how this shit gon' blow whenever i'm in town
(whenever i'm in town)
yeah, understand, they gotta understand a nigga
gotta run the town every time i'm in your city
make 'em understand
you know how this shit gon' blow whenever i'm in town
(whenever i'm in town)


money showers (ooh yeah)
rain
rain, rain, rain
whole lotta money showers
rain
rain, rain, rain
(yeah)


rain, rain, rain
ah, nah-nah, nah-nah
rain, rain, rain, rain
i don't wanna treat her cruel
(but i like honesty so what am i gonna do?)"
Good Life|Kanye West|hip-hop-rap-trap|"


like we always do at this time
i go for mine, i gots to shine
(now throw yo hands up in the sky)
i, go, go for mine, i gots to shine
(now throw yo hands up in the sky)
i'ma get on the tv momma, i'ma
i'ma put shit down
(ayy) ayy (ayy), ayy
(ayy) ayy (ayy), i'm good


welcome to the good life, where niggas who sell d
won't even get pulled over in they new v
the good life, let's go on a living spree
shit, they say the best things in life are free
the good life, it feel like atlanta
it feel like l.a., it feel like miami
it feel like ny, summertime chi
ah! (now throw yo hands up in the sky)
so i roll through good
y'all pop the trunk, i pop the hood, ferrari
and she got the goods
and she got that ass, i got to look, sorry!


yo, it's got to be 'cause i'm seasoned
haters give me them salty looks, lawry's
50 told me, ""go 'head, switch the style up""
and if they hate then let 'em hate and watch the money pile up
the good life


now i, i go for mine, i got to shine
(now throw yo hands up in the sky)
now i, i go for mine, i got to shine
(now throw yo hands up in the sky)
(i'ma get on this tv momma, i'ma)
(i'ma put shit down)
ayy (ayy), ayy (ayy)
ayy (ayy), ayy (i'm good)


welcome to the good life!
where we like the girls who ain't on tv
'cause they got mo' (ass than the models)
the good life, so keep it comin' with the bottles
'cause she feel booze like she bombed at apollo
the good life, it feel like houston
it feel like philly, it feel like d.c
it feel like va or the bay or yay
ayy, this is the good life (welcome to the good life)
homey tell me what's good
why i only got a problem when you in the hood (welcome to the good life)
like i'm new in the hood
the only thing i wish, i wish a nigga would (welcome to the good life!)
he probably think he could
but, but, i don't think he should (welcome to the good life)
50 told me, ""go 'head, switch the style up""
and if they hate then let 'em hate and watch the money pile up
the good life


now i, i go for mine, i gots to shine
(now throw yo hands up in the sky)
now i, i go for mine, i gots to shine
(now throw yo hands up in the sky)
i'ma get on the tv momma, i'ma
i'ma put shit down
(ayy) ayy (ayy), ayy
(ayy) ayy (ayy), i'm good


have you ever popped champagne on a plane, while gettin' some brain
whipped it out, she said ""i never seen snakes on a plane""
whether you broke or rich you gotta get this
havin' money's not everything, not havin' it is
i was splurgin' on tryst, but when i get my card back
activated, i'm back to vegas
'cause (the good life) i always had a passion for flashin'
befo' i had it, i closed my eyes and imagined the good life


better than the life i lived
when i thought that i was gonna go crazy
and now my grandmomma
ain't the only girl callin me ""baby""
if you feelin' me now
then put yo hands up in the sky, and let me hear you say
hey, hey, ooh i'm good!"
I Need a GirlPt. 2 (feat. Loon, Ginuwine & Mario Winans)|Diddy|hip-hop-rap-trap|"
yeah, is that bounce right here
time to move on, time to be strong
don't stop now, straight to the top now
someone who truly understands
how to treat a man
this is what i need


girl you made me believe again
if you happy then be with him, go 'head mommy breathe again
go 'head mommy breathe again, don't stop now straight to the top now
go 'head mommy make it hot now
i need me a love that's 'gon make my heart stop now
and what i need is simple, five foot five with dimples
potential wife credentials
know about the life i'm into, life i've been through
and how i had a trifilin mental
so ride with me, g force fly with me
times get hard cry with me, die with me
white beach sands lye with me
my advice is forget the limelight
let's make love, while we listen to frank white
so tight, now i understand life


what i need
(yeah take that)
is a pretty woman next to me
a pretty woman yeah baby
to share the dreams that i believe
(dream with me, believe in me)
maybe we could start a family
start a family baby
someone who truly understands, how to treat a man
this is what i need


listen to me now what should i say now? come on ma
been a whole day now i wanna lay 'round
and sip coladas, dipped in prada
i'm smooth as erik estrada, dipped in dollars
we out in vegas nevada, bubble bath in the champagne glass
'bout the size of a campaign ad
you don't know how you look to me
but if love was a crime you be a crook to me
cause mommy i've done been around the world
seened alot of places
been around your girl believe i read faces
i can tell she don't want me prevail
but i, learn my lesson watchin sean stressin'
so why listen to her and start guessin?
mommy you ain't ready to ride then start dressin
i need a girl 2 receive my mom's blessin
confession, my love no contestin
i need affection
(yes i need affection, let's go mario!)


girl what the hell is on your mind?
i could be dumb but i'm not blind
there's something leaking in your mind
don't look to good for you and me, always getting weak
that ain't what i need, baby!!!



what i need baby
is a pretty woman next to me
a pretty woman yeah baby
to share the dreams that i believe
i need a girl in my life
maybe we could start a family
start a family baby
someone who truly understands, how to treat a man
how to treat a man
this is what i need


ay yo, the sun don't shine forever
but as long as were here then we might as well shine together
nevermind the weather, go somewhere and get our minds together
build a love that'll last forever
so let's stop the pain, stop the rain
put stress to rest girl, stop the games
name the spot, mommy i got the plane
roll through rough, i got the range
ma i got some thangs, knowned to put rocks in rings
pushing hundred foot yachts and thangs
your man don't play, have you ever been to saint tropez
or seen a brotha play a mandolay?
girl i wanna just look in your eyes and watch the sun rise
no more lies, no more tears to cry
no more reasons for leavin, you i believe in
love you till the day i stop breathing
i love you girl


this is what i need
is a pretty woman next to me
a pretty woman next to me
to share the dreams that i believe
when i wake up in the morning
maybe we could start a family
i wanna see your pretty face
someone who truly understands, how to treat a man
oh yeah oh yeah
this is what i need
is a pretty woman next to me
to share the dreams that i believe
someone who truly understands, how to treat a man
this is what i need baby
is a pretty woman next to me
standing next to me
to share the dreams that i believe
when i wake up in the morning
maybe we could start a family
i wanna see your pretty face baby
someone who truly understands, how to treat a man
oh yeah oh yeah
this is what i need
is a pretty woman next to me"
Too Quick|MadeinTYO|hip-hop-rap-trap|"
i love the private club
nard & b


had to get a brand new bitch
‘cause i get bored too quick
had to get a brand new ice
‘cause i get bored too quick
cut her off, upgrade
got bored too quick
lifeguard lemonade
just flood my wrist
i get bored too quick
i get bored too quick
i get bored too quick
i get bored too quick
cut her off, upgrade
got bored too quick
lifeguard lemonade
just flood my wrist


chop the top, never stop
i get bored too quick
silly thot, want my spot
i get bored too quick
louis v, watch ‘em hang, i could see your bitch
she be choosing on the low
i can’t save that bitch
yeezy hanging out the window
i’ve got lots of handles
shout out to gwen and wesley foo, that my kinfolk
been tweaking lately
all my shit gotta be exotic
baby blue porsche that shit look like hpnotiq


had to get a brand new bitch
‘cause i get bored too quick
had to get a brand new ice
‘cause i get bored too quick
cut her off, upgrade
got bored too quick
lifeguard lemonade
just flood my wrist
i get bored too quick
i get bored too quick
i get bored too quick
i get bored too quick
cut her off, upgrade
got bored too quick
lifeguard lemonade
just flood my wrist


gucci duffel, bust yo' bubble ugh you ain't hot
saint laurent winter jacket, had it 'fore it drop
told distorted if she want it, cop that bm drop
kinjin ice me up
meechie pipe me up
mr. ice cream truck
can you ice me up?
shawty just show love
tokyo give no fuck
she let the ysl hang
i told her tootle that thang
tpc, that my gang
she wanna kiss the chain


had to get a brand new bitch
‘cause i get bored too quick
had to get a brand new ice
‘cause i get bored too quick
cut her off, upgrade
got bored too quick
lifeguard lemonade
just flood my wrist
i get bored too quick
i get bored too quick
i get bored too quick
i get bored too quick
cut her off, upgrade
got bored too quick
lifeguard lemonade
just flood my wrist"
Shimmy Shimmy Ya|Ol' Dirty Bastard|hip-hop-rap-trap|"
""aw, i don't want to fuck you. you can't even sing!"" you had to sing, or something, to get some pussy


ooh, baby, i like it raw
yeah, baby, i like it raw
ooh, baby, i like it raw
yeah, baby, i like it raw


shimmy, shimmy, ya, shimmy, yam, shimmy, yay
gimme the mic so i can take it away
off on a natural charge, bon-voyage
yeah, from the home of the dodger brooklyn squad
wu-tang killer bees on a swarm
rain on your college-ass disco dorm
for you to even touch my skill
you gotta put the one killer bee and he ain't gonna kill
now chop that down, pass it all around
lyrics get hard quick cement to the ground
for any emcee in any fifty-two states
i get psycho killer, norman bates
my producer slam my flow is like bam
jump on stage dunduhduhdunduuuuuh

(i like the way you talk)


ooh, baby, i like it raw
yeah, baby, i like it raw
ooh, baby, i like it raw
yeah, baby, i like it raw
ooh, baby, i like it raw
yeah, baby, i like it raw
ooh, baby, i like it raw
yeah, baby, i like it raw




shimmy, shimmy, ya, shimmy, yam, shimmy, yay
gimme the mic so i can take it away
off on a natural charge, bon-voyage
yeah, from the home of the dodger brooklyn squad
wu-tang killer bees on a swarm
rain on your college-ass disco dorm
for you to even touch my skill
you gotta put the one killer bee and he ain't gonna kill
now chop that down, pass it all around
lyrics get hard quick cement to the ground
for any emcee in any fifty-two states
i get psycho killer, norman bates
my producer slam my flow is like bam
jump on stage dunduhduhdunduuuuuh


shi-shimmy shimmy ya, yeah
shi-shimmy shimmy ya, shimmy yam
shi-shimmy shimmy ya shimmy yam, shimmy yay
shi-shi shimmy shimmy ya shimmy yam, shimmy yay
shi-shimmy shi-shimmy ya shimmy yam, shimmy yay

give me the mic so i can take it away, shimmy shimmy ya


you can't even sing. you have to sing ? to get some pussy

additional extended verse


see, when a nigga say he likes it raw
keepin' it dirty, down to the floor
see my name is the odb and i'll beat your ass
for the ladies who know me tell them who the fuck i be
for the niggas who know me tell them who the fuck i be
my style comes down on ya'll like rocks
(sitin' on the dock of the bay) by the dock!
(aiyaiyaiyaiyaiyaiyaiy...) umm by the flock
(don't goooooo) by the creak by the flock
got east coast locked down padlocked
my zoo be all all down by the flock


ooh, baby, i like it raw
yeah, baby, i like it raw
ooh, baby, i like it raw
yeah, baby, i like it raw


shimmy shimmy ya, shimmy yam, shimmy yay
gimme the mic so i can take it away
off on a natural charge, bon-voyage
yeah from the home of the dodger brooklyn squad
wu-tang killer bees on a swarm
rain on your college-ass disco dorm
for you to even touch my skill
you gotta put the one killer bee and he ain't gonna kill
now chop that down, pass it all around
lyrics get hard quick cement to the ground
for any emcee in any fifty-two states
i get psycho killer, norman bates
my producer slam my flow is like bam
jump on stage dunduhduhdunduuuuuh
(i like the way you talk)

yo, ya'll know the lyrics, come on, sing with me


ooh, baby, i like it raw
yeah, baby, i like it raw
ooh, baby, i like it raw
yeah, baby, i like it raw

"
Crumblin' Erb|OutKast|hip-hop-rap-trap|"


yessuh, let me dig into your brain, folks falling like rain
poverty got me selling thangs, guess i'm gon' explain
jane is rolled up, no gangs be throwed up
but still andré got action, they sweat like keith, all on my teeth
i take it upon myself to handle mine, thinking that you gots
ample time to do this, have you shot? i thought you knew this
i'm crumbling, no time for fumbling
selling my sacks, watching my back
wetting 'em up like splish, leaving 'em in a splash
of blood, the clock is ticking niggas from my block is missing
i'm putting it down like it be hot before we all get shot
got only so much time in this bastard
bitter be claiming pro but i be saying they procrastinating
settling for less, bet' be ready
when they roll up in your nest and sink one in your chest and
you's gone, up outta here for good
y'all be bobbin' back and forth to let me know you understood
yeah, wassup?


there's only so much time left in this crazy world
i'm just crumblin' erb, i'm just crumblin' erb
niggas killing niggas they don't understand (that's the master plan)
i'm just crumblin' erb, i'm just crumblin' erb


so check me out, see
once in a while when niggas be trying to test me, i gets frisky
grab a pint of golden whiskey
then they swing but, shit, they missed me, huh
i'm getting nice with them thangs, because i do like that
you heard me on the radio and, yes, my man, i'm true to dat
i run my lyrics the way y'all wanna hear 'em
and shoot my dice against the bricks the way i wanna flicks 'em
nigga, so ring around the roses, diamonds around my neck from flexing
but i'm running niggas over like a ninety-fo' lexus, test it
ten millimeters, count 'em, nigga, fuck a nine
see, i added a millimeter for y'all niggas doing crimes
and drive-bys, kiss yo' ass bye-bye, sayonara suckers
i flipped the script and turned the page
ain't scared of you motherfuckers
be popping shots, like them hoes be popping coochies
and i still be spreading bullets
like them freaks be spreading cooties
so look here niggas, i'm hunting red october
i said my shit and ran my lyrics and now my verse is over


there's only so much time left in this crazy world
i'm just crumblin' erb, i'm just crumblin' erb
niggas killing niggas they don't understand (that's the master plan)
i'm just crumblin' erb, i'm just crumblin' erb


wooo! big boi
got a tampa nugget blunt box, it's empty
that's where the erb be dropping
it's simply marvelous, time is ticking
but some of that time when i be laying vocals in the dungeon
sugar bear and mone be smoking ounces like it ain't nothing
it ain't shit to take another hit, so hit it
of the cannabis sativa weed reefer, yeah, smoke shit
it's all day e'ery day 'til they label me deceased
so fire up another one and smoke out and fuck the world, peace


we is gonna smoke out until we choke out
like some merry men, cowards i be buryin'
coming around my shop with that, see, nigga, you gets nothing
just like dj do the cutting, i be having your posse ducking
nothing but king shit, i am asking, sucka, can you hang?
that player with the pepper throwing salt off in your game
sprinkle sprinkle, motherfucker, don't be crying on me
that southern cess be in my chest until i'm chillin' in peace, yeah


there's only so much time left in this crazy world
i'm just crumblin' erb, i'm just crumblin' erb
niggas killing niggas they don't understand (that's the master plan)
i'm just crumblin' erb, i'm just crumblin' erb


ah, shit now
coming in like two fat hoes sitting off on corn flakes
dropping these things like french fries in hot grease
big gipp, goodie mob, p.a., outkast
the j-o-i, just to let y'all niggas know
forever pimping, never slipping, that's how it is
that how it's gon' be, that's how it was in the past
that's how it's gon' be in the futures, nigga
it's all day everyday, so what you wanna do with it?
bring that shit on, know what i'm saying? yeah


there's only so much time left in this crazy world
i'm just crumblin' erb, i'm just crumblin' erb
niggas killing niggas they don't understand (that's the master plan)
i'm just crumblin' erb, i'm just crumblin' erb
there's only so much time left in this crazy world
i'm just crumblin' erb, i'm just crumblin' erb
niggas killing niggas they don't understand (that's the master plan)
i'm just crumblin' erb, i'm just crumblin' erb
there's only so much time left in this crazy world
i'm just crumblin' erb, i'm just crumblin' erb"
