name|artist|genre|lyrics
Weak|AJR|pop|"
""no thank you"" is what i should've said
i should be in bed
but temptations of trouble on my tongue
troubles yet to come


one sip, bad for me
one hit, bad for me
one kiss, bad for me
but i give in so easily
and ""no thank you"" is how it should've gone
i should stay strong


but i'm weak, and what's wrong with that?
boy, oh boy i love it when i fall for that
i'm weak, and what's wrong with that?
boy, oh boy i love it when i fall for that
i'm weak
ooh waaaaaaa ee ya ee ya
ooh waaaaaaa ee ya ee ya
but i'm weak, and what's wrong with that?
boy, oh boy i love it when i fall for that
(boy, oh boy i love it when i fall for that)


no thank you
they call me after dark, i don't want no part
my habits, they hold me like a grudge
i promise i won't budge


one sip, bad for me
one hit, bad for me
one kiss, bad for me
but i give in so easily
and ""no thank you"" is how it should've gone
i should stay strong


but i'm weak, and what's wrong with that?
boy, oh boy i love it when i fall for that
i'm weak, and what's wrong with that?
boy, oh boy i love it when i fall for that
i'm weak
ooh waaaaaaa ee ya ee ya
ooh waaaaaaa ee ya ee ya
but i'm weak, and what's wrong with that?
boy, oh boy i love it when i fall for that


we, we fall for that
wake up, we fall again
we, we fall for that
can't wait to fall again


one sip, bad for me
one hit, bad for me
one kiss, bad for me
but i give in so easily
and no thank you is how it should've gone
i should stay strong


but i'm weak, and what's wrong with that?
boy, oh boy i love it when i fall for that
i'm weak, and what's wrong with that?
boy, oh boy i love it when i fall for that
i'm weak
go!
ooh waaaaaaa ee ya ee ya
ooh waaaaaaa ee ya ee ya
but i'm weak, and what's wrong with that?
boy, oh boy i love it when i fall for that
ooh waaaaaaa ee ya ee yaaaaa"
HeadBand (feat. 2 Chainz)|B.o.B|pop|"b.o.b headband ft 2 chainz  (muggzy boagz remix)


muggzy on the beat hoe


whistling dixie
bitches all around, while i’m sipping on whiskey
middle school thuggin’, had a bitch on the slide
be your best friend, to get your sister aside
her boyfriend’s gone, seen him leaving in the cab
comes to me crying’,‘bout the reason that his mad
pretend to listen for an hour, then we leaving to the pad
roll that ass over, then i eat it from the back
vip up in your party, with the baddest here
bring ‘em back, acting like i’m cavalier
on my bed, setting up my camera gear
i don’t have light bulb moments, i have chandeliers
getting high to fuck, bitches are kinky
g’s on repeat, like when i listen to fifty
“thats my girl!”, said i’m bringing her with me
she’ll be back in morning, breath stinking of whiskey
when these sluts around me, they know how to act
occasionally i rap, so getting x’s in our chats
your bea up on my lap, when she naked in my pad
she making that shit clap, when she take it from the back
never judge a girl, by her profile pic
just fishing for those likes, when they shows those tits
filters all over, that photo clicked
up in real life, you wouldn’t even know that bitch
before i get a girl, living all my fantasies
first double check she looks the same up in reality
thats the difference bruh, between you and i
you never come correct, i always do it right
kissing on your girl, fuck the bro code bitch
saying that i won’t, while she blows my dick
shows her best parts first, like a promo clip
fighting over bitches, is some homo shit
‘ish know my stance, won’t hold your hand
we won’t slow dance, theres no romance
go back to ex man, go head fam
you been used & stretched out, like an old headband
m.b"
Antidote|Travis Scott|pop|"


don't you open up that window
don't you let out that antidote (yeah!)
poppin' pills is all we know (ooh!)
in the hills is all we know (hollywood!)
don't go through the front door (through the back!)
it's lowkey at the night show (ooh!)
so don't you open up that window (ooh!)
don't you let out that antidote (yeah!)


party on a sunday (that was fun!)
do it all again on monday (one more time!)
spent a check on a weekend (oh my god!)
i might do it all again (that's boss shit)
i just hit a three peat (ooh!)
fucked three hoes i met this week (robert horry!)
i don't do no old hoes (oh, no, no)
my nigga, that's a no-no (straight up!)
she just want the coco (cocaína!)
i just want dinero (dinero)
who that at the front door? (who that is?)
if it's the feds, oh, no, no, no (don't let 'em in, shhh!)


don't you open up that window (yah!)
don't you let out that antidote (yah, ooh)
poppin' pills is all we know (yah!)
in the hills is all we know (hollywood)
don't go through the front door (in the back!)
it's lowkey at the night show (ooh!)


ayy, ooh, ooh
at the night show (oooohh-wah)
at the night show (higher)
at the night show (oooohh-wah)
ooh, at the night show (get lit, my nigga)
ooh, at the night show


anything can happen at the night show (yah!)
everything can happen at the night show (oooohh-wah)
ooh, at the night show
anything can happen at the night show (yah!)
ooh, at the night show
ooh, your bitch not at home, she at the night show
ooh (straight up!) fuckin' right, ho
ooh, had to catch a flight for the night show
ooh (let's go!) let's get piped though
bottles got us right though, we ain't sippin' light, no
aaahhhhhhh! (la flame!) i ain't got no type though
only got one night though, we can do it twice though


(aaaahhhhhhhh!) it's lit! at the night show
ooh, at the night show (ooh, ooh)
at the night show
ooh, at the night show
yeah, at the night show
everything can happen at the night show
ooh, at the night show
anything can happen at the night show
ooh


stackin' up day to day, young nigga
you know you gotta go get it, go get it, my nigga
they hatin', they stankin', they waitin'
don't be mistaken, we dyin', they stayin'
lord, i'm on fire, they think that i'm satan
callin' me crazy on different occasions
kickin' the cameraman off of my stages
'cause i don't like how he snappin' my angles
i'm overboard and i'm over-impatient
over my niggas and these kids my ages
dealin' with mo' shit that's more complicated
like these two bitches that might be related
h-town, you got one
and you bun b like a number one
it's late night, got a late show
if you wanna roll, i got a place where—


poppin' pills is all we know (ooh!)
in the hills is all we know (hollywood!)
don't go through the front door (through the back!)
it's lowkey at the night show (ooh!)
so don't you open up that window (ooh!)
don't you let out that antidote"
Story of My Life|One Direction|pop|"
written in these walls are the stories that i can't explain
i leave my heart open
but it stays right here empty for days
she told me in the morning
she don't feel the same about us in her bones
it seems to me that when i die
these words will be written on my stone


and i'll be gone, gone tonight
the ground beneath my feet is open wide
the way that i've been holding on too tight
with nothing in between


the story of my life
i take her home
i drive all night
to keep her warm
and time is frozen
the story of my life
i give her hope
i spend her love
until she's broke inside
the story of my life


written on these walls are the colours that i can't change
leave my heart open
but it stays right here in its cage
i know that in the morning, now
i'll see us in the light up on the hill
although i am broken, my heart is untamed still


and i'll be gone, gone tonight
the fire beneath my feet is burning bright
the way that i've been holding on so tight
with nothing in between


the story of my life
i take her home
i drive all night
to keep her warm
and time is frozen
the story of my life
i give her hope
i spend her love
until she's broke inside
the story of my life


and i been waiting for this time to come around
but, baby, running after you
is like chasing the clouds


the story of my life
i take her home
i drive all night
to keep her warm
and time is frozen


the story of my life
i give her hope (give her hope)
i spend her love
until she's broke inside
(until she's broke inside)
the story of my life
the story of my life
the story of my life
the story of my life"
Millionaire (feat. Nelly)|Cash Cash|pop|"
i feel like a millionaire
i feel like a millionaire
whenever she comes around
whenever i hear that sound
i feel like a millionaire
i feel like a millionaire
whenever she comes around
whenever i hear that sound


she smell like money when she walk by
all heat, no smoke, but she on fire
if they suicide doors, then she gon' ride
she got that passport pussy cause she don't fly, no lie


she gon' make you pay to see her work it
she only twerk it for a birkin
i gotta see if shawty worth it
hey, she must be the money


i feel like a millionaire
i feel like a millionaire
whenever she comes around
whenever i hear that sound
i feel like a millionaire
i feel like a millionaire
whenever she comes around
whenever i hear that sound


shawty work her way, the way she go down
shawty worth her weight, her weight in gold pounds
call me young money, put that milli on me
she the reason why i keep a milli on me
shawty work her way, the way she go down
shawty worth her weight, her weight in gold pounds
call me young money, put that milli on me
cause she the reason why i keep a milli on me


she gon' make you pay to see you work it
she only twerk it for a birkin
i gotta see if shawty worth it
hey, she must be the money
she must be the money
she must be the money
shawty looking like money


i feel like a millionaire
i feel like a millionaire
whenever she comes around
whenever i hear that sound
i feel like a millionaire
i feel like a millionaire
whenever she comes around
whenever i hear that sound
i feel like a
i feel like a
i feel like a
i feel like a millionaire
i feel like a millionaire
i feel like a millionaire
whenever she comes around
whenever i hear that sound"
Truffle Butter|Nicki Minaj|pop|"
you know
you know


uh, thinkin' out loud
i must have a quarter million on me right now
hard to make a song 'bout somethin' other than the money
two things i'm about is talkin' blunt and staying blunted
pretty women, are you here? are you here right now, huh?
we should all disappear right now
look, you're gettin' all your friends and you're gettin' in the car
and you're comin' to the house, are we clear right now, huh?
you see the fleet of all the new things
cop cars with the loose change
all white like i move things
niggas see me rollin' and they mood change
like a muhfucka
new flow, i got a dozen of 'em
i don't trust you, you a undercover
i could probably make some step-sisters fuck each other (woo)
talkin' filets with the truffle butter
fresh sheets and towels, man she gotta love it
yeah, they all get what they desire from it
what, tell them niggas we ain't hidin' from it


you know
you know


yo, thinkin' out loud
i must have about a milli on me right now
and i ain't talkin' about that lil wayne record
i'm still the highest sellin' female rapper, for the record
man, this a 65 million single sold
i ain't gotta compete with a single soul
i'm good with the ballpoint game, finger roll
ask me how to do it, i don't tell a single soul
pretty women, wassup? is you here right now?
you a stand-up or is you in your chair right now?
uhh, do you hear me? i can't let a wack nigga get near me
i might kiss the baddest bitch if you dare me
i ain't never need a man to take care of me
yo, i'm in that big boy, bitches can't rent this
i floss everyday, but i ain't a dentist
your whole style and approach, i invented
and i ain't takin' that back, cause i meant it


you know
you know


uh, thinkin' out loud
i could be broke and keep a million dollar smile
lol to the bank, check in my account
bank teller flirtin' after checkin' my account
pretty ladies, are you here?
truffle butter on your pussy
cuddle buddies on the low
you ain't gotta tell your friend
that i eat it in the morning
cause she gonna say ""i know""
can i hit it in the bathroom?
put your hands on the toilet
i'll put one leg on the tub
girl, this my new dance move
i just don't know what to call it
but bitch you dancing with the stars
i ain't nothin' like your last dude
what's his name? — not important
i brought some cocaine if you snortin'
she became a vacuum
put it on my dick like carpet
suck the white off white chocolate
i'm so heartless, thoughtless
lawless, and flawless
smallest, regardless
largest in charge
and born in new orleans
get killed for jordans
skateboard, i'm gnarly
drake, tunechi, and barbie
you know!


you know
you know

"
Stolen Dance|Milky Chance|pop|"
i want you by my side
so that i never feel alone again
they’ve always been so kind
but now they’ve brought you away from me
i hope they didn't get your mind
your heart is too strong anyway
we need to fetch back the time
they have stolen from us


and i want you
we can bring it on the floor
you’ve never danced like this before
we don’t talk about it
dancing on, do the boogie all night long
you're stoned in paradise
shouldn’t talk about it
and i want you
we can bring it on the floor
you’ve never danced like this before
we don’t talk about it
dancing on, do the boogie all night long
you're stoned in paradise
shouldn’t talk about it
shouldn't talk about it


coldest winter for me
no sun is shining anymore
the only thing i feel is pain
caused by absence of you
suspense controlled in my mind
i cannot find the way outta here
i want you by my side
so that i never feel alone again


and i want you
we can bring it on the floor
you’ve never danced like this before
we don’t talk about it
dancing on, do the boogie all night long
you're stoned in paradise
shouldn’t talk about it
and i want you
we can bring it on the floor
you’ve never danced like this before
we don’t talk about it
dancing on, do the boogie all night long
you're stoned in paradise
shouldn’t talk about it
shouldn't talk about it

and i want you
we can bring it on the floor
you’ve never danced like this before
we don’t talk about it
dancing on, do the boogie all night long
you're stoned in paradise
shouldn’t talk about it
and i want you
we can bring it on the floor
you’ve never danced like this before
we don’t talk about it
dancing on, do the boogie all night long
you're stoned in paradise
shouldn’t talk about it
shouldn't talk about it"
I Mean It (feat. Remo)|G-Eazy|pop|"
you know if i say something i mean it
these things happen
yeah


if i ever said i'm never scared
just know i mean it
if i ever said i fucked your bitch
just know i mean it
and if i ever said i'm gettin' money
just know i mean it
and oh lord oh lord knows
he knows i mean it
yeah, you know i mean it
you know i mean it
just know i mean it
just know i mean it
oh yeah oh yeah oh yeah


if i say that shit then i mean it
she calls me, i screen it, i'm only fuckin' if it's convenient
you lie on pussy, that's weak shit
we pass pussy 'round, that's g shit
but you ain't fam so what is this ""we"" shit?
you cuff yours and then leash it
listen, i'm tellin' you, it's my world, i does what i wish to
if you're mad well too bad, sounds like a personal issue
i walk in, they all stare like ""who the fuck is this dude?""
kicks game is just rude, don't get jiu-jitsued
tunnel visions how i get ahead, stayed solid i never fled
my haters feel like i'm better dead
but i'm quite alive getting bread instead
with a better girl, with a better face
i'm in a better place gettin' better head
""i just wanna stay broke forever,""
yeah that's that shit no one ever said


if i ever said i'm never scared
just know i mean it
if i ever said i fucked your bitch
just know i mean it
and if i ever said i'm gettin' money
just know i mean it
and oh lord oh lord knows
he knows i mean it
yeah, you know i mean it
you know i mean it
just know i mean it
just know i mean it
oh yeah oh yeah oh yeah


signed gerald, i'm sincere
this year i'm in here, i'll spell it out to make things clear
meanwhile your end's near, i've got a lane and i'm in gear
you people wonder who's next up
that conversation really ends here
you rappers just talk a bunch, stress me out, i chop a dutch
weak rappers tryna bite the sound, but my style is a lot to munch
i'm more like whiskey neat, and you're more like vodka punch
g’s dope, he might blow up, think i know, i've got a hunch
on my side it's authentic, you try to stunt but it's all rented
but you're dope you got a bad chick, yeah, cool bro we all get it
she wears a ring, came through without it
you really think she stay true? i doubt it
cause i'm fucking your girlfriend, and there's nothing you can do about it


if i ever said i'm never scared
just know i mean it
if i ever said i fucked your bitch
just know i mean it
and if i ever said i'm gettin' money
just know i mean it
and oh lord oh lord knows
he knows i mean it
yeah, you know i mean it
you know i mean it
just know i mean it
just know i mean it
oh yeah oh yeah oh yeah"
LIKE I WOULD|ZAYN|pop|"
hey what's up? it's been a while
talking 'bout it's not my style
thought i'd see what's up, while i'm lighting up
it's cold-hearted, cold-hearted
know it's late, but i'm so wired
saw your face and got inspired
guess you let it go, now you're good to go
it's cold-hearted, cold-hearted


oh, oh, it's probably gonna sound wrong
promise it won't last long
oh, oh, if we can never go back
thought you'd like to know that


he, won't touch you like i do
he, won't love you like i would
he don't know your body
he don't do you right
he won't love you like i would
love you like i would


it's okay to want me, 'cause i want you
been thinkin' it over, but i'm through
so stop wasting all my time, messing with my mind
it's cold-hearted, cold-hearted


oh, oh, it's probably gonna sound wrong
promise it won't last long
oh, oh, if we can never go back
thought you'd like to know that


he, won't touch you like i do
he, won't love you like i would
he don't know your body
he don't do you right
he won't love you like i would
love you like i would, like i would
he, won't touch you like i do
he, won't love you like i would
he don't know your body
he don't do you right
he won't love you like i would
love you like i would, like i would


he can't love you like i would
he can't love you like i could
he don't know your body
he don't know your body


he, won't touch you like i do
he, won't love you like i would
he don't know your body
he don't do you right
he won't love you like i would
love you like i would, like i would
he, won't touch you like i do
he, won't love you like i would
he don't know your body
he don't do you right
he won't love you like i would
love you like i would, like i would"
If I'm Lucky|Jason Derulo|pop|"
woo, who are you to say, that i didn't love you?
'cause i didn't love the way you wanted
and who am i to blame? when i didn't trust you
enough to let you in the way i wanted, stop, okay


vodka on my lips (yeah, yeah), took too many drinks (yeah, yeah)
makes me reminisce all the way down (woo)
to my happy place (yeah, yeah), you're my happy place (yeah, yeah)
i can't handle us now


if i'm lucky i'll meet ya, flipside of the graveyard
'cause things didn't work out in this life, but someday
if i'm lucky, i'll meet ya, heaven or high water
'cause things didn't work out in this life, but maybe
if i'm lucky, eh
if i'm lucky, eh
uh, i'll get your loving (yeah)
'cause things didn't work out in this life, but someday


who am i to say, that it wasn't good, babe? mmmm
just thinkin' 'bout our loving gives me chills
up and down my spine, uh, i dare you not to miss me, yeah
'cause what we had was more than just a thrill, stop, okay


vodka on my lips (yeah, yeah), took too many drinks (yeah, yeah)
makes me reminisce all the way down (woo)
to my happy place (yeah, yeah), you're my happy place (yeah, yeah)
i can't handle us now


if i'm lucky i'll meet ya, flipside of the graveyard
'cause things didn't work out in this life, but someday (yeah)
if i'm lucky, i'll meet ya, heaven or high water
'cause things didn't work out in this life, but maybe (but maybe)
if i'm lucky, eh (oh)
if i'm lucky, eh (if i'm lucky, babe)
uh, i'll get your loving, miss when you say (yeah), i really miss it, babe
'cause things didn't work out in this life, but someday


i'm selfish for you (ooh)
i'm selfish for you (ooh)


if i'm lucky i'll meet ya, flipside of the graveyard (if i'm lucky i'll meet ya on the flipside)
'cause things didn't work out in this life, but someday ('cause things didn't) (yeah)
if i'm lucky, i'll meet ya, heaven or high water (ooh)
'cause things didn't work out in this life, but maybe (things didn't work out)
if i'm lucky, eh (if i'm lucky, babe, oh)
if i'm lucky, eh (if i'm lucky, baby, oh)
uh, i'll get your loving (yeah)
'cause things didn't work out in this life, but someday (woo)


i'm selfish for you (ooh, ooh, woah, i'm)
i'm selfish for you (selfish, ooh)
and only you, baby"
