name|artist|genre|lyrics
Blood Fire Death|Bathory|metal|"death's star on horizon
lightning and rain
black winds and thunder
the skyline is in flames

written in the red mist
the sign of the one
who rides deaths cold wind
and walks disguised among

all you vagrant souls
of profane disbeliefs
false prophets and deceivers
shall swing from the trees

soon the dawn will arise
for all the oppressed to arm
a chariot of thunder shall be seen
and bronze horns shall sound the alarm

fists will raise like hammers
to a cloudy black sky
bonds and chains fall to the ground

children of all slaves
stand united and proud
all people of bondage shall triumph
and live by the sign of...

blood fire death

the moment is chosen
the battlefield's bare
take now thy stand people
the true ones don't fear

now choose your weapons
and fall in the line
choose well your colors
and follow your sign

blood for all tears shed
and fire for hate
death for what shall become
all false ones fate

the standard bearer is chosen
and the day has just begun
shadows growing long by the rising
of the awakening sun

fists raise like hammers
to a clear sunny sky
bonds and chains fallen to the ground

children of all slaves
now united and proud
all people of bondage now triumph
and live by the sign of...

blood fire death

children of all slaves
unite be proud
rise out of darkness and pain

a chariot of thunder and gold
will come loud
and a warrior of thunder and rain

with hair as white as snow
hammer of steel
to set you free of your chains

and to lead you all
where horses run free
and the souls of the ancient ones reign"
Immortal Rites|Morbid Angel|metal|"
gathered for a sacred rite
subconscious minds allied
call upon immortals
call upon the oldest ones to intercede

rid us of our human waste
cleanse our earthly lives
make us one with darkness
enlighten us to your ways


from churning worlds of mindlessness
come screams unheard before
haunting voices fill the room
their source remaining undefined
shadows cast from faceless beings
lost for centuries


lords of death, i summon you
reside within our brains
cast your spells upon our lives
so that we may receive
the gift of immortality
bestowed on those who seek you


gathered for a sacred rite
subconscious minds allied
call upon immortals
call upon the oldest ones to intercede

rid us of our human waste
cleanse our earthly lives
make us one with darkness
enlighten us to your ways


lords of death, i summon you
reside within our brains
cast your spells upon our lives
so that we may receive
the gift of immortality
bestowed on those who seek you


immortal rites"
Epitaph|Necrophagist|metal|"leaves fall in the autumn
of lives that appear
to be worthless to some
utmost ignorant

expectations shift in the eye
of the beholder...behold

tears drop from the eye
of lives paled
as jealousy fools
a mind distorted

expectations shift in the eye
of the beholder...behold

one wishes existence
to be of fulfillment
but leaves bend to the will
of winds blowing

to foresee the end
of a soul...epitaph

claim to foresee
the end of a soul
premature epitaph



to foresee the end
of a soul"
Internal Bleeding|Obituary|metal|"rot alone
destiny
killing the souls of lives at your feet
dead to its fight
hell as they said
killing the darkened rotting fate

fate. rot alone
bludgeoning hell
finding their souls and returning to dwell
killing and bleeding tightened as one
killing the darkest rotting fate

rot all lesions
glory. rotting, plowed...
dead he's killed your soul
glory. rotting flower...
kill!"
Cry Of The Black Birds|Amon Amarth|metal|"raise your swords up high
see the black birds fly
let them hear your rage
show no fear
attack

charge your horses across the fields
together we ride into destiny
have no fear of death, when its your time
odin will bring us home, when we die

the ground trembles under us
as we make our thunder charge
the pounding hooves spread panic and fear into their hearts
our helmets shine in the sun as we near their wall of shields
some of them turn and run
when they hear our frenzied screams!

draw your swords to strike
hear the black birds cry
let them feel your hate
show no fear

charge your horses across the fields
together we ride into destiny
have no fear of death, when its our time
odin will bring us home, when we die

the enemy are in disarray, ride them down as they run
send them to their fallen graves, don't spare anyone
dead and wounded lie all around, see the pain in their eyes
over the field an eerie sound, as we hear the ravens cry"
Outnumbered|The Devil Wears Prada|metal|"
we are outnumbered...
the virus has completely devastated over 150 of the world’s major regions and is spreading rapidly
at this point in time we know of only one method of killing the creatures: destroy the brain
be on the guard of any loved ones who may have recently been in any sort of contact could be infected
and if you find yourself out in a threatening position, please do not hesitate to act
again, this is not a test, this is not a joke
we as a species are overwhelmed
we are outnumbered


standing at accuracy’s demise we have reached the new world wasteland
population converted: one by one (one by one)
thousands upon thousands
like scavengers on waste, like vultures on the sick
zombies outnumber the living
we are the outnumbered. we are the outnumbered


find your post, find your shelter in hopes of outliving the undead
build your walls, maintain protection with ambitions of beating the odds
find your post, find your shelter in hopes of outliving the undead
build your walls, maintain protection with ambitions of beating the odds


in a sea of stinking rot, in a place where living humans are no longer the hunters
all the money in the world won’t satisfy the enemy
hunted
hunted
hunted
hunted

standing at accuracy’s demise we have reached the new world wasteland
go
mankind is the losing faction; retreat is eternally hopeless


find your post, find your shelter in hopes of outliving the undead
build your walls, maintain protection with ambitions of beating the odds
find your post, find your shelter in hopes of outliving the undead
build your walls, maintain protection
with ambitions of beating the odds

we are the outnumbered"
Dreams|We Came As Romans|metal|"this is my deepest dream
this is how i show you my love (my love, my love)
this is him speaking to me
this is me speaking to you (my love, my love)
this is him speaking through me to you
this is him speaking through me to you

i'm here struggling with my brothers
i'm here struggling with my brothers
this is the most passion you will ever see
my heart is breaking for and with you

but after all of what's between
you still chose yourself over me
my heart hurts and my heart breaks
no one belongs here
not here where we leave our hearts
the illusion for your weakened love

this is not what we were made for
far from the compassion we have known
far from the love that we have shown
he tells me that love will endure all things
he tells me that love will endure all things

i know that you are forever my brother (my brother)
here i struggle with you my brother (my brother)

he tells me that love endures all things
and i'll have you know
i'll have you know...

this is my
this is my deepest dream
this is how i show you my love
beloved let us love one another (beloved let us love one another)
this is my deepest dream (this is my deepest dream)

(beloved let us love one another! beloved let us love one another!)
beloved let us love one another
beloved let us love one another
beloved let us love one another
beloved
beloved

that you are forever my brother
and here i struggle with you my brother"
The Eleventh Hour|August Burns Red|metal|"we've heard the sound that ears bleed to hear
the sound of a place the entire universe awaits
here the strongest fall to their knees
a passion so powerful that walls crumble to their foundations
the lost find their way back home, but the masses buy what will make them rich, feasting on lies, chasing their tails
truth be told, they'll get what they were promised
crawling away, burning with regret, to the deepest, darkest depths of hell
we got news for you
the day is soon coming when turning your back won't be an option
keep telling yourself what you really don't believe
you can compromise what you know to be true, and you can turn off all of your senses, but in the end you'll see nothing stands between a man and his maker
no matter what it's your decision
this isn't something you could do alone
give up, give in no matter what, it's your decision"
Unsilent Storms In The North Abyss|Immortal|metal|"delight of the moon is burning inside
spiritless i lay on cryptic stones
mesmerising snow wait silent above me
and my yearn for frost grow strongly

i am demon

a demon with a shadowed face
entering to my wintercoffin
awaiting to see the dawnless realms
staring into a ground of glass
a perfect view
i could've fallen into my eyes

unsilent storms in the north abyss

a demon with a shadowed face
entering to my wintercoffin
awaiting to see the dawnless realms
staring into a ground of glass
a perfect view
i could've fallen into my eyes

unsilent storms in the north abyss"
Electric Crown|Testament|metal|"

here we go, the people show
victims of tomorrow
the way it goes, it never shows
emptiness or sorrow
there is nothing left inside
nothing left to cry for
so i justify my crimes
things that i must die for



so alone, away it goes
the life that you have wasted
you never know where it might go
the sweet success you've tasted
tested by a bitter frown
knowing i must die for
can't confide to all the lies
no one to inquire

as i wander, change of seasons
as i realise that i'll soon be there

i'll let you know, the reapers show
makes you beg or borrow
he comes to see the tragedy
his fate he will not follow
wearing your electric crown
the preacher starts to pray
shiver as the lights go down
heed these words i say

as i wander, change of seasons
i can't ponder, got my reasons
as i realise i don't care
all i know is that i'll soon be there



now it's done, the time has come
the people stand in silence
another dawn has come and gone
his fate has been decided
there is no one left inside
a brain without mind
traces of a bitter man
are all that you will find

as i wander, change of seasons
i can't ponder, got my reasons
as i realise i don't care
all i know is, that i'll soon be there
and i'll soon be there
and i'll soon be there
and i'll soon be there"
