name|artist|genre|lyrics
1990x|Maxwell|r&b|"
like the thunder, i can hear you whisper
if love has shown, if love was shown, i would be more brave
if i can see anything i wanna entertain
but i can't, i'd rather have you next to me
but can you see that i'm alone
there's no hesitation, i feel you so much
there's no indication that i will choose your touch


there's no song that defines it
there's no music behind it
there's no lyric to read from
there's just you and the moment
lay here closely beside me
feel my heart as it's pounded
we will climax with reason
cause we're grown and we own it


inside the sky of me and you lives a star
let's ride the galaxy and find who we are


i'm hearin them saying things all the time
the word on the street is that i'm slowly losing my mind
they say that he's wasting his whole life


there's no song that defines it
there's no music behind it
there's no lyric to read from
there's just you and the moment
lay here closely beside me
feel my heart as it's pounded
i can climax with reason
cause we're grown and we own it


when the night is through
the morning rays of love i see you through
til the morning dew, yeah, a winter afternoon
a summer night in june, whatever works for you
time goes by, it just can't be more than my love, love
we can, ooh
"
Hol' Up (feat. Yo Gotti)|Tamar Braxton|r&b|"
h, i am
bet i get that money like that
i be hustlin', no sweat
ain't no sleep
and i'm from the street
i used swing out a 'vette
turn that 'vette to a 'rari
gave that 'rari to my assistant
yeah, my hustle so persistant
and that's how i like my women (aye)
don't get in my business, bae
you been in your feeling's lately
i been out here grindin'
you tryna argue, that shit irritating
i been thinking bout you
feel like i'm gon' sink without you (aye)
i can't sleep without you
i been tossin' turnin' bout you


been a while since we been alone (yeah, yeah)
been slick missing you on the low (yeah, yeah)
now the only thing i want (yeah, yeah)
is you and me alone (hey, hey)
and you know me i am a lot (yeah, yeah)
been missin' you up at the house (yeah, yeah)
and if i text you better call back yeah, cause you know what i want (do it, do it, do it)  (yeah, yeah)


let me rock your body baby, back and forth (ooh)
and i'm the only one to take it all the more (ooh)
stir it up, yeah, you already know (already know)
so let me do it (yeah)
and i'm gon' do it (yeah)


until you say
hol' up, yeah
hol' up, yeah
hol' up, yeah
hol' up, yeah
hol' up, yeah
hol' up, yeah
do it, do it, can't take it no more yeah (no more)
do it, do it, can't take it no more yeah (no more)
hol' up, yeah
hol' up, yeah
(hol' up)
hol' up, yeah
hol' up, yeah
(hol' up)
hol' up, yeah
hol' up, yeah
do it, do it, can't take it no more yeah (no more)
do it, do it, can't take it no more yeah (no more)


come on an do it (like that)
you know i like it (like that)
i love it when he (like that)
and i'm gon' throw it (right back)
and when you think i had enough
i keep on coming (right back)
yeah, yeah, yeah (hey, ey, ey, ey, hey, ey, ey, ey)
he can't get enough of it (like that)
your body been calling it (like that)
and you better not tell no more (like that)
that i bet you be bussing it
so i better not hear nothing running the streets
when you know that i'm trusting ya
do it, do it, do it


let me rock your body baby, back and forth (ooh)
and i'm the only one to take it all the more (ooh)
stir it up, yeah, you already know (already know)
so let me do it (yeah)
and i'm gone do it (yeah)


until you say
hol' up, yeah
hol' up, yeah
hol' up, yeah
hol' up, yeah
hol' up, yeah
hol' up, yeah
do it, do it, can't take it no more yeah (no more)
do it, do it, can't take it no more yeah (no more)
hol' up, yeah
hol' up, yeah
(hol' up)
hol' up, yeah
hol' up, yeah
(hol' up)
hol' up, yeah
hol' up, yeah
do it, do it, can't take it no more yeah (no more)
do it, do it, can't take it no more yeah (no more)


these facts
i come from the hood
i never play safe (aye)
i bought that black dunbar huddle white wraith
kiss for dinner
fell in love the same day (same day)
you know it's real when she feel the same way (same)
you and your last nigga had some issues
i'm a lil' different from him bae
me and my last chick had some issues
you so different in many ways
and i've been thinking 'bout you
feel like i'mma sink without you (aye)
i'm yo gotti baby
self made millionaire
im off the ye (ayune)


until you say
hol' up, yeah
hol' up, yeah
hol' up, yeah
hol' up, yeah
hol' up, yeah
hol' up, yeah
