name,artist,genre
"Mozart: Le nozze di Figaro, K. 492, Act 2: ""Porgi, amor"" (Countess)",Wolfgang Amadeus Mozart,classical-opera
Carmen (1997,Georges Bizet,classical-opera
"L'Africaine / Act 4: ""Mi batte il cor...O Paradiso!""",Giacomo Meyerbeer,classical-opera
Torna a Surriento,Ernesto de Curtis,classical-opera
"Verdi: Aida, Act 2: ""Gloria all'Egitto, ad Iside"" (Popolo, Sacerdoti)",Giuseppe Verdi,classical-opera
"Requiem in D Minor, K. 626: Lacrimosa",Wolfgang Amadeus Mozart,classical-opera
"Masques et bergamasques Suite, Op. 112: IV. Pastorale",Gabriel Fauré,classical-opera
"String Quartet in D Major, Op. 64/5: Adagio cantabile",Franz Joseph Haydn,classical-opera
"Bizet: Carmen, WD 31, Act 2: ""La fleur que tu m'avais jetée"" (Don José)",Georges Bizet,classical-opera
Miserere mei Deus,Christopher Tye,classical-opera
"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 14b Dance of the Sugar-Plum Fairy",Pyotr Ilyich Tchaikovsky,classical-opera
À Chloris,Philippe Jaroussky,classical-opera
"La Bohème, ACT2: Chi l'ha richiesto?",Giacomo Puccini,classical-opera
Perfidia,Andrea Bocelli,classical-opera
"Songs My Mother Taught Me (from ""Gypsy Songs"", Op. 55, No. 4)",Antonín Dvořák,classical-opera
Infra 4,Max Richter,classical-opera
Plus Que Ma Prope Vie,Carter Burwell,classical-opera
Verdi: La Traviata: Prelude to Act 1,Giuseppe Verdi,classical-opera
"The Marriage of Figaro (Le nozze di Figaro), K. 492: Overture",Wolfgang Amadeus Mozart,classical-opera
Gianni Schicchi: O mio babbino caro,Giacomo Puccini,classical-opera
"Massenet: Werther, Act 3: ""Pourquoi me réveiller"" (Werther, Charlotte)",Jules Massenet,classical-opera
"24 Preludes, Op. 28: Prelude No. 4 in E Minor",Frédéric Chopin,classical-opera
Canticles of the Sky: Sky with Four Suns,John Luther Adams,classical-opera
Ravel : Daphnis et Chloé : Suite No.2,Maurice Ravel,classical-opera
Somos Novios (It's Impossible),Andrea Bocelli,classical-opera
"Madama Butterfly / Act 2: ""Un bel dì vedremo""",Giacomo Puccini,classical-opera
