name,artist,genre
I'm Goin In,Drake,hip-hop-rap-trap
ULT,Denzel Curry,hip-hop-rap-trap
Ten Crack Commandments,The Notorious B.I.G.,hip-hop-rap-trap
Multi Millionaire (feat. Lil Uzi Vert),Lil Pump,hip-hop-rap-trap
Once an Addict,J. Cole,hip-hop-rap-trap
Money Showers,Fat Joe,hip-hop-rap-trap
Good Life,Kanye West,hip-hop-rap-trap
"I Need a GirlPt. 2 (feat. Loon, Ginuwine & Mario Winans)",Diddy,hip-hop-rap-trap
Too Quick,MadeinTYO,hip-hop-rap-trap
Shimmy Shimmy Ya,Ol' Dirty Bastard,hip-hop-rap-trap
Crumblin' Erb,OutKast,hip-hop-rap-trap
I'm Sprung,T-Pain,hip-hop-rap-trap
Snap Yo Fingers,Youngbloodz,hip-hop-rap-trap
RGF Island,Fetty Wap,hip-hop-rap-trap
Sky Walker (feat. Travis Scott),Miguel,hip-hop-rap-trap
Twinz (Deep Cover 98) (feat. Fat Joe),Big Pun,hip-hop-rap-trap
TEMPTATION,Joey Bada$$,hip-hop-rap-trap
Rack City,Tyga,hip-hop-rap-trap
You Got Me,G-Eazy,hip-hop-rap-trap
Not Alike (feat. Royce Da 5'9),Eminem,hip-hop-rap-trap
Everybody Dies,Logic,hip-hop-rap-trap
Up Down (Do This All Day),T-Pain,hip-hop-rap-trap
What They Want,Russ,hip-hop-rap-trap
4 AM,2 Chainz,hip-hop-rap-trap
Drank in My Cup,Kirko Bangz,hip-hop-rap-trap
Dead And Gone (feat. Justin Timberlake),T.I.,hip-hop-rap-trap
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),Pras,hip-hop-rap-trap
Wedding Crashers,Aminé,hip-hop-rap-trap
Bigger Than You (feat. Drake & Quavo),2 Chainz,hip-hop-rap-trap
Free,6LACK,hip-hop-rap-trap
Rubbin off the Paint,YBN Nahmir,hip-hop-rap-trap
NEVER,JID,hip-hop-rap-trap
Move Bitch,Disturbing Tha Peace,hip-hop-rap-trap
Sacrifices,Drake,hip-hop-rap-trap
Patiently Waiting,50 Cent,hip-hop-rap-trap
U and Dat (feat. T. Pain & Kandi Girl),E-40,hip-hop-rap-trap
Triumph (feat. Cappadonna),Wu-Tang Clan,hip-hop-rap-trap
California Love,2Pac,hip-hop-rap-trap
No Flag,London On Da Track,hip-hop-rap-trap
745,Vince Staples,hip-hop-rap-trap
I Wanna Smoke,Gangsta Pat,hip-hop-rap-trap
No Stylist,French Montana,hip-hop-rap-trap
Numb,21 Savage,hip-hop-rap-trap
High For Hours,J. Cole,hip-hop-rap-trap
Loyal,Chris Brown,hip-hop-rap-trap
Everyday We Lit (feat. PnB Rock),YFN Lucci,hip-hop-rap-trap
Wins & Losses,Meek Mill,hip-hop-rap-trap
Rock Bottom,Eminem,hip-hop-rap-trap
Mob Ties,Drake,hip-hop-rap-trap
Don't Sweat The Technique,Eric B. & Rakim,hip-hop-rap-trap
Black SpiderMan,Logic,hip-hop-rap-trap
Bust Down,Trippie Redd,hip-hop-rap-trap
Chanel (Go Get It) [feat. Gunna & Lil Baby],Young Thug,hip-hop-rap-trap
All About U,2Pac,hip-hop-rap-trap
Put On,Jeezy,hip-hop-rap-trap
XO TOUR Llif3,Lil Uzi Vert,hip-hop-rap-trap
Prayers Up,Calvin Harris,hip-hop-rap-trap
X Gon' Give It To Ya,DMX,hip-hop-rap-trap
Don’t Matter To Me (with Michael Jackson),Drake,hip-hop-rap-trap
JAPAN,Famous Dex,hip-hop-rap-trap
Leflaur Leflah Eshkoshka,Heltah Skeltah,hip-hop-rap-trap
Blue Pill,Metro Boomin,hip-hop-rap-trap
"UP! (feat. Chris Brown, Pleasure P) (R&B Remix Mix)",J. Valentine,hip-hop-rap-trap
How To Love,Lil Wayne,hip-hop-rap-trap
Greatest,Eminem,hip-hop-rap-trap
Chum,Earl Sweatshirt,hip-hop-rap-trap
wokeuplikethis*,Playboi Carti,hip-hop-rap-trap
Lean Wit Me,Juice WRLD,hip-hop-rap-trap
All We Got (feat. Kanye West & Chicago Children's Choir),Chance the Rapper,hip-hop-rap-trap
Money and the Power,Kid Ink,hip-hop-rap-trap
"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)",Raekwon,hip-hop-rap-trap
Free Smoke,Drake,hip-hop-rap-trap
Ms. Fat Booty,Mos Def,hip-hop-rap-trap
Break Ya Neck,Busta Rhymes,hip-hop-rap-trap
STOOPID,6ix9ine,hip-hop-rap-trap
Gangsta's Paradise,Coolio,hip-hop-rap-trap
Kevin’s Heart,J. Cole,hip-hop-rap-trap
FML,Kanye West,hip-hop-rap-trap
To the Max,DJ Khaled,hip-hop-rap-trap
1942,G-Eazy,hip-hop-rap-trap
Express Yourself,N.W.A.,hip-hop-rap-trap
Goldie,A$AP Rocky,hip-hop-rap-trap
Venom,Eminem,hip-hop-rap-trap
Laffy Taffy,D4L,hip-hop-rap-trap
Just Another Case,Cru,hip-hop-rap-trap
Signs,Drake,hip-hop-rap-trap
The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,hip-hop-rap-trap
On The Come Up (feat. Big Sean),Mike WiLL Made-It,hip-hop-rap-trap
Comfortable,K CAMP,hip-hop-rap-trap
Mass Appeal,Gang Starr,hip-hop-rap-trap
Real Friends,Kanye West,hip-hop-rap-trap
What You Know,T.I.,hip-hop-rap-trap
Audi.,Smokepurpp,hip-hop-rap-trap
Backyard Boogie,Mack 10,hip-hop-rap-trap
