name,artist,genre
Blood Fire Death,Bathory,metal
Immortal Rites,Morbid Angel,metal
Epitaph,Necrophagist,metal
Internal Bleeding,Obituary,metal
Cry Of The Black Birds,Amon Amarth,metal
Outnumbered,The Devil Wears Prada,metal
Dreams,We Came As Romans,metal
The Eleventh Hour,August Burns Red,metal
Unsilent Storms In The North Abyss,Immortal,metal
Electric Crown,Testament,metal
Oblivious to Evil,Deicide,metal
Necromancy,Bathory,metal
Torn To Pieces,Death,metal
Amaranth,Nightwish,metal
Living Dead,Entombed,metal
Through the Halls of Eternity,Immortal,metal
Kings of Metal,Manowar,metal
Suicide Season,Bring Me The Horizon,metal
Together as One,Death,metal
Breaking Point,Parkway Drive,metal
Braablick Blev Hun Vaer,Ulver,metal
Det Som En Gang Var,Burzum,metal
Redneck,Lamb of God,metal
Tears Don't Fall,Bullet For My Valentine,metal
The Axe,Gojira,metal
Sacrificial,Death,metal
It Never Ends,Bring Me The Horizon,metal
Raining Blood,Slayer,metal
The Arms of Sorrow,Killswitch Engage,metal
Beneath Broken Earth,Paradise Lost,metal
At War With Reality,At The Gates,metal
Cosmic Keys To My Creations And Times,Emperor,metal
Threatening Skies,Obituary,metal
Meddler,August Burns Red,metal
Lord of All Fevers & Plague,Morbid Angel,metal
Take This Life,In Flames,metal
Hades,Bathory,metal
Blue and the Grey,Parkway Drive,metal
I Wanna Rock,Twisted Sister,metal
Born Dead,Death,metal
Tears of the Dragon,Bruce Dickinson,metal
Misery's Crown,Dark Tranquillity,metal
The Chosen Legacy,Dimmu Borgir,metal
Begravelsesnatt,Gorgoroth,metal
Call From The Grave,Bathory,metal
FAREWELL TO SHADY GLADE,Of Mice & Men,metal
Aces High,Iron Maiden,metal
Don't Talk To Strangers,Dio,metal
Jesus Wept,Suffocation,metal
When Darkness Falls,Killswitch Engage,metal
Nerve,Soilwork,metal
Where Dark & Light Don't Differ,Immortal,metal
Fuck (feat. Josh Franceschi),Bring Me The Horizon,metal
Nemo,Nightwish,metal
The Book Of Heavy Metal (march Of Metallians),Dream Evil,metal
Old Ghost / New Regrets,Parkway Drive,metal
Battery,Metallica,metal
Drink,Alestorm,metal
And the Snakes Start to Sing,Bring Me The Horizon,metal
With Strength I Burn,Emperor,metal
Visions in My Head,Obituary,metal
Pull The Plug,Death,metal
Under and Over It,Five Finger Death Punch,metal
Paranoid,Black Sabbath,metal
Holy Diver,Killswitch Engage,metal
Ritual,Ghost,metal
Blood On My Hands,Morbid Angel,metal
Raabjorn Speiler Draugheimens Skodde,Dimmu Borgir,metal
Breaking the Law,Judas Priest,metal
Teleute,Veil Of Maya,metal
Carnal Forge,Carcass,metal
Nymphetamine Fix,Cradle Of Filth,metal
The Golden Walls Of Heaven,Bathory,metal
Dead Skin Mask,Slayer,metal
Kathaarian Life Code,Darkthrone,metal
Stargazer,Rainbow,metal
Fall From Grace,Morbid Angel,metal
Let It Go,Betraying The Martyrs,metal
Ohioisonfire,Of Mice & Men,metal
Cloud Connected,In Flames,metal
Not The American Average,Asking Alexandria,metal
Evil Dead,Death,metal
Don't Care,Obituary,metal
Carrion,Parkway Drive,metal
While We Sleep,Insomnium,metal
When You Can't Sleep At Night,Of Mice & Men,metal
Sassafras,The Devil Wears Prada,metal
A Prophecy,Asking Alexandria,metal
Princess of the Night,Saxon,metal
My Last Serenade,Killswitch Engage,metal
Diamonds Aren't Forever,Bring Me The Horizon,metal
In Hell I Burn,Deicide,metal
From Womb to Waste,Dying Fetus,metal
High Road,Mastodon,metal
Dunkelheit,Burzum,metal
40 1,Sabaton,metal
Strife,Trivium,metal
But Life Goes On,Entombed,metal
Samsara,Parkway Drive,metal
Story to Tell,Death,metal
Suicide Machine,Death,metal
Stick Stickly,Attack Attack!,metal
One Rode To Asa Bay,Bathory,metal
The Game,DragonForce,metal
Understanding What We've Grown To Be,We Came As Romans,metal
Prevail,Kataklysm,metal
Visions,Bring Me The Horizon,metal
Roots Bloody Roots,Sepultura,metal
Only For The Weak,In Flames,metal
Spiritual Healing,Death,metal
Internal Cannon,August Burns Red,metal
Pull Me Under,Dream Theater,metal
Infecting the Crypts,Suffocation,metal
Bleed,Meshuggah,metal
Up Against the Ropes,August Burns Red,metal
JOHN DEUX TROIS,Of Mice & Men,metal
Total Destruction,Bathory,metal
Keelhauled,Alestorm,metal
Demigod,Behemoth,metal
Jesus' Tod,Burzum,metal
Alive In The Lights,Memphis May Fire,metal
512,Lamb of God,metal
Now We Die,Machine Head,metal
Too Old Too Cold,Darkthrone,metal
Drømmer Om Død,Gorgoroth,metal
Day Of Suffering,Morbid Angel,metal
Lord Xenu,The Devil Wears Prada,metal
Frozen By Icewinds,Immortal,metal
Digital World,Amaranthe,metal
Serpents of the Light,Deicide,metal
Possessed by Satan,Gorgoroth,metal
Transilvanian Hunger,Darkthrone,metal
Escape,The Devil Wears Prada,metal
Empire,August Burns Red,metal
Sorgens Kammer,Dimmu Borgir,metal
Ace of Spades,Motörhead,metal
Electric Eye,Judas Priest,metal
Sexual Man Chocolate,Attack Attack!,metal
Rasputin,Turisas,metal
Desolation,Lamb of God,metal
Reign of Darkness,Thy Art Is Murder,metal
