name,artist,genre
1990x,Maxwell,r&b
Hol' Up (feat. Yo Gotti),Tamar Braxton,r&b
Freek'n You,Jodeci,r&b
I Do,Musiq Soulchild,r&b
Push It On Me,Kevin Hart,r&b
Knockin' da Boots,H-Town,r&b
Dilemma,Nelly,r&b
Electric (feat. Khalid),Alina Baraz,r&b
Incapable,Keyshia Cole,r&b
R.A.N.,Miguel,r&b
I'll Make Love To You,Boyz II Men,r&b
Breakfast In Bed,Ella Mai,r&b
Deuces (feat. Tyga & Kevin McCall),Chris Brown,r&b
Just Right for Me,Monica,r&b
Faded Pictures,Case,r&b
Don't Touch My Hair,Solange,r&b
Tadow,Masego,r&b
Back 2 Life,LeToya Luckett,r&b
Pretty Wings,Maxwell,r&b
Slow Down,Bobby V.,r&b
If You Let Me,Sinead Harnett,r&b
Normal Girl,SZA,r&b
One In A Million,Ne-Yo,r&b
Wanna Be Yours,Guordan Banks,r&b
Right Time,Keyshia Cole,r&b
How Many Drinks?,Miguel,r&b
Inner City Blues,Molly Johnson,r&b
Date,Tone Stith,r&b
Love On Top,Beyoncé,r&b
Baby I'm Ready,Levert,r&b
Lake By the Ocean,Maxwell,r&b
Love Like Ours (feat. Tarrus Riley),Estelle,r&b
Seasons (feat. Khalid),6LACK,r&b
Hey Daddy (Daddy's Home),Usher,r&b
Back To Sleep REMIX,Chris Brown,r&b
Creep,TLC,r&b
No More,Ruff Endz,r&b
Do Like That,Korede Bello,r&b
My Lovin' (You're Never Gonna Get It),En Vogue,r&b
Blended Family (What You Do For Love),Alicia Keys,r&b
Make Me Feel,Janelle Monáe,r&b
Late Night Flex,Quincy,r&b
Pigment,H.E.R.,r&b
Knock You Down,Keri Hilson,r&b
Good Bad,Ella Mai,r&b
sweetener,Ariana Grande,r&b
The Boy Is Mine,Brandy,r&b
Me & U,Cassie,r&b
Bed Peace,Jhene Aiko,r&b
Pink Matter,Frank Ocean,r&b
Blind,Tamar Braxton,r&b
Pretty Little Birds (feat. Isaiah Rashad),SZA,r&b
Hard to Do,K. Michelle,r&b
Dip It Low,Christina Milian,r&b
Dinero,Jennifer Lopez,r&b
Destiny,Sir Charles Jones,r&b
God is a woman,Ariana Grande,r&b
Avenue,H.E.R.,r&b
Everything Is Yours,Kehlani,r&b
Don't Matter,August Alsina,r&b
No Scrubs,TLC,r&b
A.D.I.D.A.S. (All Day I),Ro James,r&b
Pullin' Me Back,Chingy,r&b
Million,Tink,r&b
Incomplete Kisses,Sampha,r&b
Stay Ready (What A Life),Jhene Aiko,r&b
Rock with You,Pleasure P,r&b
Feeling Myself,Nicki Minaj,r&b
Smile (Living My Best Life) (feat. Snoop Dogg & Ball Greezy),Lil Duval,r&b
Best Kept Secret,Nesha Deshaun,r&b
On My Mind (Jorja Smith X Preditah),Jorja Smith,r&b
Losing,H.E.R.,r&b
Last Cigarette,Ro James,r&b
Show and Tell (feat. Eric Bellinger),Sammie,r&b
Get You,Miguel,r&b
Calling All My Lovelies,Bruno Mars,r&b
Mad,Solange,r&b
Fallin',Alicia Keys,r&b
I Wanna Love You,Akon,r&b
Sexy Can I feat. Yung Berg,Ray J,r&b
Gonna Love Me,Teyana Taylor,r&b
Beautiful,Snoop Dogg,r&b
Breakdown,Ar'mon & Trey,r&b
Girl,The Internet,r&b
Redbone,Childish Gambino,r&b
Regret In Your Tears,Nicki Minaj,r&b
Honesty,Pink Sweat$,r&b
In The Name,LeToya Luckett,r&b
Ready for Whatever,Mýa,r&b
I Know What You Want (feat. Flipmode Squad),Busta Rhymes,r&b
"Yeah, I Said It",Rihanna,r&b
Right Here,SWV,r&b
Weary,Solange,r&b
Keep On,Kehlani,r&b
Thong Song,Sisqo,r&b
Fall,DaVido,r&b
Sex With Me,Rihanna,r&b
Easy,Demetria McKinney,r&b
Southside,Lloyd,r&b
Talking to Myself,Gallant,r&b
