name,artist,genre
Barracuda,Heart,rock
Breakfast In America,Supertramp,rock
I Won't Back Down,Tom Petty,rock
Piece of My Heart,Big Brother & The Holding Company,rock
Higher Ground,Red Hot Chili Peppers,rock
Slither,Velvet Revolver,rock
Every Step That I Take (feat. Portugal. The Man & Whethan),Tom Morello,rock
Prayers,Good Charlotte,rock
Found What I've Been Looking For,Tom Grennan,rock
Amputation,The Jesus and Mary Chain,rock
When You Were Young,The Killers,rock
Who Do You Trust?,Papa Roach,rock
Demons,Imagine Dragons,rock
Angel,Theory of a Deadman,rock
Paradise,Broadside,rock
Don't Stay,Linkin Park,rock
Midnight Rider,The Allman Brothers Band,rock
Party On Apocalypse,New Found Glory,rock
Sound of Madness,Shinedown,rock
What's Wrong,PVRIS,rock
The One You Know,Alice In Chains,rock
Little Talks,Of Monsters and Men,rock
Show Me How to Live,Audioslave,rock
Taipei Person/Allah Tea,Stone Sour,rock
Walk Of Life,Dire Straits,rock
Every Breath You Take,The Police,rock
Killing In The Name,Rage Against The Machine,rock
I Surrender,Rainbow,rock
Bad To The Bone,George Thorogood & The Destroyers,rock
Black Butterflies and Déjà Vu,The Maine,rock
Over and Over Again,The Used,rock
Song #3,Stone Sour,rock
The Devil's Bleeding Crown,Volbeat,rock
Sharp Dressed Man,ZZ Top,rock
I Will Wait,Mumford & Sons,rock
Wolf,Highly Suspect,rock
White Rabbit,Egypt Central,rock
Ocean Avenue,Yellowcard,rock
Rag Doll,Aerosmith,rock
You Really Got Me,Van Halen,rock
Pain,Three Days Grace,rock
Wonderful Tonight,Eric Clapton,rock
High,Sir Sly,rock
All Day and All of the Night,The Kinks,rock
The Man,The Killers,rock
With Or Without You,U2,rock
No Halo,Sorority Noise,rock
Carrie,Europe,rock
Silence Speaks (feat. Oli Sykes),While She Sleeps,rock
Can't Knock The Hustle,Weezer,rock
Brothers In Arms,Dire Straits,rock
Beyond,Leon Bridges,rock
Iris,The Goo Goo Dolls,rock
Cemetery Gates,Pantera,rock
Cold as Ice,Foreigner,rock
Life Itself,Glass Animals,rock
American Girl,Tom Petty and the Heartbreakers,rock
Snow (Hey Oh),Red Hot Chili Peppers,rock
Wasted Years,Iron Maiden,rock
More Than a Feeling,Boston,rock
What I Got,Sublime,rock
Somebody That I Used To Know,Gotye,rock
Born to Run,Bruce Springsteen,rock
No More Tears,Ozzy Osbourne,rock
Little Dark Age,MGMT,rock
Who Are You,The Who,rock
Painting (Masterpiece),Lewis Del Mar,rock
In Bloom,Nirvana,rock
More Than Words,Extreme,rock
Run,Foo Fighters,rock
Better Off Without You,Mallory Knox,rock
Hearts On Fire,Hammerfall,rock
Renegades Of Funk,Rage Against The Machine,rock
The Lonesome Boatman,Dropkick Murphys,rock
Californication,Red Hot Chili Peppers,rock
Animals,Nickelback,rock
Last Nite,The Strokes,rock
Way Down We Go,KALEO,rock
Still Breathing,Green Day,rock
Call Me When You're Sober,Evanescence,rock
Bad Company,Five Finger Death Punch,rock
Beast Of Burden,The Rolling Stones,rock
Bitter Sweet Symphony,The Verve,rock
Live And Let Die,Guns N' Roses,rock
Dose,Avenged Sevenfold,rock
Wind Of Change,Scorpions,rock
Talking to Myself,Linkin Park,rock
Can't You See,The Marshall Tucker Band,rock
Red Flag,Billy Talent,rock
Are You Ready,Disturbed,rock
Naive,The Kooks,rock
The Dark Side,Muse,rock
Woman,Wolfmother,rock
Paranoid,Black Sabbath,rock
Toxicity,System Of A Down,rock
Out In The Fields,Gary Moore,rock
Raining,The Front Bottoms,rock
Last Young Renegade,All Time Low,rock
In Too Deep,Sum 41,rock
Little Wing,Jimi Hendrix,rock
Time of Dying,Three Days Grace,rock
"Another Brick in the Wall, Pt. 2",Pink Floyd,rock
Let Me Live / Let Me Die,Des Rocs,rock
Bed Of Roses,Bon Jovi,rock
La Grange,ZZ Top,rock
Burning Heart,Survivor,rock
Man of War,Radiohead,rock
One More Light,Linkin Park,rock
Ricochet,Starset,rock
Wish You Were Here,Pink Floyd,rock
Misery Business,Paramore,rock
The Thunder Rolls,All That Remains,rock
Fight For Your Right,Beastie Boys,rock
Tom Sawyer,Rush,rock
Lonely Boy,The Black Keys,rock
The Middle,Jimmy Eat World,rock
Monkey Wrench,Foo Fighters,rock
Smooth (feat. Rob Thomas),Santana,rock
Legendary,Welshly Arms,rock
L.A. Woman,The Doors,rock
While My Guitar Gently Weeps,The Beatles,rock
"Steady, as She Goes",The Raconteurs,rock
Lift Me Up (feat. Rob Halford of Judas Priest),Five Finger Death Punch,rock
The Sound of Silence,Disturbed,rock
Blood,Breaking Benjamin,rock
Maybellene i Hofteholder,Volbeat,rock
Bullet With Butterfly Wings,The Smashing Pumpkins,rock
Always,Bon Jovi,rock
Hey Joe,Jimi Hendrix,rock
Misery,blink-182,rock
Fly Like An Eagle,Steve Miller Band,rock
The Scientist,Coldplay,rock
these are my friends,lovelytheband,rock
On Melancholy Hill,Gorillaz,rock
Had Enough,Lower Than Atlantis,rock
Babe I'm Gonna Leave You,Led Zeppelin,rock
"Mama, I'm Coming Home",Ozzy Osbourne,rock
Shepherd of Fire,Avenged Sevenfold,rock
Jumpsuit,Twenty One Pilots,rock
Gone Away,Five Finger Death Punch,rock
Paralyzer,Finger Eleven,rock
World Away,Tonight Alive,rock
You'll Be Fine,Palaye Royale,rock
When We Were Young,Andy Black,rock
Seven Nation Army,The White Stripes,rock
Word Up!,Korn,rock
Ruby,Kaiser Chiefs,rock
Porn Star Dancing,My Darkest Days,rock
Good Riddance (Time of Your Life),Green Day,rock
Keep on Loving You,REO Speedwagon,rock
Friday I'm In Love,The Cure,rock
Unbreakable,Of Mice & Men,rock
Are You Gonna Be My Girl,Jet,rock
Do I Wanna Know?,Arctic Monkeys,rock
Shape of My Heart,Theory of a Deadman,rock
High Enough,K.Flay,rock
You Could Be Mine,Guns N' Roses,rock
Don't Come Down,The Maine,rock
The Come Up,Shaman's Harvest,rock
Midnight Crusade,Dance Gavin Dance,rock
Jeremy,Pearl Jam,rock
Wanted Dead Or Alive,Bon Jovi,rock
White Room,Cream,rock
Rosanna,Toto,rock
My Own Summer (Shove It),Deftones,rock
I Can't Quit,The Vaccines,rock
I Don't Want to Miss a Thing,Aerosmith,rock
Come On To Me,Paul McCartney,rock
Until The World Goes Cold,Trivium,rock
Only Us,Thrice,rock
My Generation,The Who,rock
Fallen Leaves,Billy Talent,rock
All Along the Watchtower,Jimi Hendrix,rock
I Write Sins Not Tragedies,Panic! At The Disco,rock
Helter Skelter,Rob Zombie,rock
Where's the Revolution,Depeche Mode,rock
Rx (Medicate),Theory of a Deadman,rock
Monster,Hands Like Houses,rock
Run To You,Bryan Adams,rock
Smooth Criminal,Alien Ant Farm,rock
Eastbound & Down,WSTR,rock
Wait and Bleed,Slipknot,rock
Should I Stay or Should I Go,The Clash,rock
Scars,Papa Roach,rock
Thought Contagion,Muse,rock
You're My Best Friend,Queen,rock
Dream On,Aerosmith,rock
Walk On Water,Thirty Seconds To Mars,rock
Wall Of Glass,Liam Gallagher,rock
Centuries,Fall Out Boy,rock
Don't Stop Me Now,Queen,rock
Fat Lip,Sum 41,rock
Nico And The Niners,Twenty One Pilots,rock
Interstate Love Song,Stone Temple Pilots,rock
Give It Away,Red Hot Chili Peppers,rock
Jenny,Nothing More,rock
Testify,Rage Against The Machine,rock
The Hell Song,Sum 41,rock
Song 2,Blur,rock
Ramblin' Man,The Allman Brothers Band,rock
God Damn,Avenged Sevenfold,rock
Gimme Shelter,The Rolling Stones,rock
Trouble,Five Finger Death Punch,rock
Zombie,Bad Wolves,rock
Bad Moon Rising,Creedence Clearwater Revival,rock
The Wind Cries Mary,Jimi Hendrix,rock
Necessary Evil (feat. Jonathan Davis),Motionless In White,rock
Burnin' for You,Blue Öyster Cult,rock
I'm Shipping Up To Boston,Dropkick Murphys,rock
Body Talks,The Struts,rock
Faint,Linkin Park,rock
My Curse,Killswitch Engage,rock
Lookin' Out My Back Door,Creedence Clearwater Revival,rock
Blaze Of Glory,Jon Bon Jovi,rock
Satellite,Rise Against,rock
Believer,Imagine Dragons,rock
DEVIL,Shinedown,rock
The Zephyr Song,Red Hot Chili Peppers,rock
I Want To Break Free,Queen,rock
Where Do We Go When We Go,Neck Deep,rock
Stranglehold,Ted Nugent,rock
Mother,Danzig,rock
I Miss the Misery,Halestorm,rock
Through Glass,Stone Sour,rock
Semi-Charmed Life,Third Eye Blind,rock
Black Hole Sun,Soundgarden,rock
Don't Look Back in Anger,Oasis,rock
Hard To Handle,The Black Crowes,rock
Mr. Brightside,The Killers,rock
For What It's Worth,Buffalo Springfield,rock
Waking Lions,Pop Evil,rock
Rockin' in the Free World,Neil Young,rock
Behind Blue Eyes,The Who,rock
Someday,Nickelback,rock
All The Small Things,blink-182,rock
Click Click Boom,Saliva,rock
Hurt,Johnny Cash,rock
Apartment,Seaway,rock
Aerials,System Of A Down,rock
I Sat By The Ocean,Queens of the Stone Age,rock
Cult of Personality,Living Colour,rock
Jack & Diane,John Mellencamp,rock
Chasing Cars,Snow Patrol,rock
Must Be Nice,Nickelback,rock
The Diary of Jane,Breaking Benjamin,rock
Gravity,Papa Roach,rock
A Reason to Fight,Disturbed,rock
Second Chance,Shinedown,rock
She's Out Of Her Mind,blink-182,rock
Symphony Of Destruction,Megadeth,rock
My Little RnR,Danko Jones,rock
Shout at the Devil,Mötley Crüe,rock
Let You Down,Seether,rock
Old Man,Neil Young,rock
Feel Like Makin' Love,Bad Company,rock
Painkiller,Three Days Grace,rock
Falling Away from Me,Korn,rock
Roots,In This Moment,rock
Welcome To The Jungle,Guns N' Roses,rock
Smoke On The Water,Deep Purple,rock
River,Bishop Briggs,rock
Absolute Zero,Stone Sour,rock
Still Waiting,Sum 41,rock
Hate To Say I Told You So,The Hives,rock
Four Out Of Five,Arctic Monkeys,rock
Down On The Corner,Creedence Clearwater Revival,rock
Stricken,Disturbed,rock
Suit And Jacket,Judah & the Lion,rock
You're in Love with a Psycho,Kasabian,rock
House Of The Rising Sun,The Animals,rock
Pride (In The Name Of Love),U2,rock
Tears Don't Fall,Bullet For My Valentine,rock
Enemies,Shinedown,rock
Grey Goose,Carousel Kings,rock
Fear Of The Dark,Iron Maiden,rock
This Is War,Thirty Seconds To Mars,rock
Take The Money And Run,Steve Miller Band,rock
Calendar Days,Knuckle Puck,rock
Young And Menace,Fall Out Boy,rock
You’re The Best Thing About Me,U2,rock
Meadow,Stone Temple Pilots,rock
Have You Ever Seen The Rain,Creedence Clearwater Revival,rock
Sea Change,Thrice,rock
"You're Gonna Go Far, Kid",The Offspring,rock
Crazy Train,Ozzy Osbourne,rock
We're Not Gonna Take It,Twisted Sister,rock
Champion,Fall Out Boy,rock
Too Much To Think,311,rock
Your Love,The Outfield,rock
Counting Stars,OneRepublic,rock
The Anthem,Good Charlotte,rock
Rebel Yell,Billy Idol,rock
You Worry Me,Nathaniel Rateliff & The Night Sweats,rock
Chlorine,Twenty One Pilots,rock
The Boys Are Back In Town,Thin Lizzy,rock
Cloud 9,Jamiroquai,rock
Holy Diver,Killswitch Engage,rock
I'd Come For You,Nickelback,rock
Use Somebody,Kings of Leon,rock
Long Train Runnin',The Doobie Brothers,rock
Start Me Up,The Rolling Stones,rock
American Woman,The Guess Who,rock
It's Not My Time,3 Doors Down,rock
Yellow Ledbetter,Pearl Jam,rock
Footsteps,Pop Evil,rock
I Stand Alone,Godsmack,rock
Alone,I Prevail,rock
How You Remind Me,Nickelback,rock
Welcome to the Family,Avenged Sevenfold,rock
Heat Of The Moment,Asia,rock
My Own Grave,As I Lay Dying,rock
It's Not Over,Daughtry,rock
Walking The Wire,Imagine Dragons,rock
Teenagers,My Chemical Romance,rock
The Last Of The Real Ones,Fall Out Boy,rock
Born To Be My Baby,Bon Jovi,rock
Fly Away,Lenny Kravitz,rock
Halo,Boston Manor,rock
Cat Scratch Fever,Ted Nugent,rock
Send Me An Angel,Scorpions,rock
What Went Down,Foals,rock
All My Life,Foo Fighters,rock
One of Us,New Politics,rock
All Star,Smash Mouth,rock
The Show Must Go On,Queen,rock
Notorious,Adelitas Way,rock
Sex & Candy,Marcy Playground,rock
Holiday / Boulevard of Broken Dreams,Green Day,rock
I'm on Fire,Bruce Springsteen,rock
The Doomed,A Perfect Circle,rock
The Boys Of Summer,Don Henley,rock
