name,artist,genre
9 Crimes,Damien Rice,singer-songwriter
Between the Bars,Elliott Smith,singer-songwriter
Stay With Me,Sam Smith,singer-songwriter
Holes,Passenger,singer-songwriter
The Longer I Run,Peter Bradley Adams,singer-songwriter
Don't Tell Me That It's Overs,Tim Walker Adam,singer-songwriter
"Welcome Back (Theme from Welcome Back, Kotter)",John Sebastian,singer-songwriter
Giving up Everything,Natalie Merchant,singer-songwriter
I Got A Name,Jim Croce,singer-songwriter
Dream About You,Peter Case,singer-songwriter
Meg White,Ray LaMontagne,singer-songwriter
Satellite of Love,Lou Reed,singer-songwriter
Broke Window,Gary Jules,singer-songwriter
"Maybe, Maybe.",Cam Nacson,singer-songwriter
Fidelity,Regina Spektor,singer-songwriter
Bubble Toes,Jack Johnson,singer-songwriter
Skyfall (Acoustic Cover),Josie Charlwood,singer-songwriter
50 Ways to Leave Your Lover,Paul Simon,singer-songwriter
Stay,Jackson Browne,singer-songwriter
Get Together,Jesse Colin Young,singer-songwriter
Paper Doll,John Mayer,singer-songwriter
Stoned Soul Picnic,Laura Nyro,singer-songwriter
Heavy Fuel,Dire Straits,singer-songwriter
A Case of You,Joni Mitchell,singer-songwriter
Take It Easy,Jackson Browne,singer-songwriter
Carolina In My Mind,James Taylor,singer-songwriter
Thinking out Loud,Ed Sheeran,singer-songwriter
Troubled Man,John Mellencamp,singer-songwriter
You're Beautiful,James Blunt,singer-songwriter
Bad,Luka Bloom,singer-songwriter
Waiting Around to Die,Townes Van Zandt,singer-songwriter
I Want You to Want Me,Gary Jules,singer-songwriter
Kiss Me,Ed Sheeran,singer-songwriter
First Day Of My Life,Bright Eyes,singer-songwriter
She's Got My Heart,Willie Nile,singer-songwriter
Imagine,Jack Johnson,singer-songwriter
Crossroads,John Mayer,singer-songwriter
Hands,Jewel,singer-songwriter
I'm Yours,Jason Mraz,singer-songwriter
Youth,Daughter,singer-songwriter
Like a Rolling Stone,Bob Dylan,singer-songwriter
Disappearing,Dan Wilson,singer-songwriter
Flirted With You All My Life,Vic Chesnutt,singer-songwriter
Better Man,Paolo Nutini,singer-songwriter
Make It with You,Bread,singer-songwriter
In The Sun,Joseph Arthur,singer-songwriter
Reelin' In The Years,Steely Dan,singer-songwriter
Sweeter,Gavin DeGraw,singer-songwriter
Tell Me Why,Minnie Driver,singer-songwriter
Heartbeats,José González,singer-songwriter
Please Forgive Me,David Gray,singer-songwriter
Sara Smile,Daryl Hall & John Oates,singer-songwriter
Atlas Hands,Benjamin Francis Leftwich,singer-songwriter
Wild World,Yusuf / Cat Stevens,singer-songwriter
River Man,Teddy Thompson,singer-songwriter
Now,Chicago,singer-songwriter
Waiting for the Great Leap Forwards,Billy Bragg,singer-songwriter
Only Want You,Brett Dennen,singer-songwriter
A House Is A Home,Ben Harper,singer-songwriter
Autumn Leaves,Eva Cassidy,singer-songwriter
Shine,Benjamin Francis Leftwich,singer-songwriter
That Year,Brandi Carlile,singer-songwriter
My Misery,Jonatha Brooke,singer-songwriter
The City,Ed Sheeran,singer-songwriter
Mona Lisa,Grant-Lee Phillips,singer-songwriter
Collide,Howie Day,singer-songwriter
Airwaves,Ray LaMontagne,singer-songwriter
32 Flavors,Ani DiFranco,singer-songwriter
Pretty Saro,Bob Dylan,singer-songwriter
Ilsa Drown (feat. Jónsi),Death Vessel,singer-songwriter
Blood Bank,Bon Iver,singer-songwriter
The Acrobat,Johnathan Rice,singer-songwriter
Bones,Ben Howard,singer-songwriter
Sweet Jane,Cowboy Junkies,singer-songwriter
In Repair,John Mayer,singer-songwriter
Mystic Highway,John Fogerty,singer-songwriter
First Defeat,Noah Gundersen,singer-songwriter
I Don't Feel It Anymore,William Fitzsimmons,singer-songwriter
Danny's Song,Loggins & Messina,singer-songwriter
Foolish Games,Jewel,singer-songwriter
Everybody,Ingrid Michaelson,singer-songwriter
Heartbreak Warfare,John Mayer,singer-songwriter
Barton Hollow,The Civil Wars,singer-songwriter
Tear It Up,Matt Simons,singer-songwriter
Tell Her This,Del Amitri,singer-songwriter
Mrs. Robinson,Simon & Garfunkel,singer-songwriter
Lose You,Pete Yorn,singer-songwriter
I Will Wait,Mumford & Sons,singer-songwriter
Lost Without U,Robin Thicke,singer-songwriter
Tiny Dancer,Elton John,singer-songwriter
Skinny Love,Birdy,singer-songwriter
Little Wonders,Rob Thomas,singer-songwriter
Come On In My Kitchen,Leon Russell,singer-songwriter
Vincent,Don McLean,singer-songwriter
Songbird,Eva Cassidy,singer-songwriter
Up On Cripple Creek,The Band,singer-songwriter
God Only Knows,Joe Henry,singer-songwriter
U.N.I.,Ed Sheeran,singer-songwriter
Trouble,Lindsey Buckingham,singer-songwriter
Come Away With Me,Norah Jones,singer-songwriter
6th Avenue Heartache,The Wallflowers,singer-songwriter
Pretty Woman,Roy Orbison,singer-songwriter
