name,artist,genre
Standing In The Shadows Of Love,Four Tops,soul-blues
Hard Time Killing Floor,R.L. Burnside,soul-blues
Move on Up,Curtis Mayfield,soul-blues
Soldier of Love,Sade,soul-blues
Tyrone,Erykah Badu,soul-blues
You Know My Love,Otis Rush,soul-blues
You Got Me Dizzy,Jimmy Reed,soul-blues
Come See About Me,Tedeschi Trucks Band,soul-blues
The Happy Song (Dum-Dum),Otis Redding,soul-blues
Gimme All Your Lovin',ZZ Top,soul-blues
Come Away With Me,Norah Jones,soul-blues
Crazy,Gnarls Barkley,soul-blues
Bring Me My Shotgun,Lightnin' Hopkins,soul-blues
(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson,soul-blues
Foxey Lady,Jimi Hendrix,soul-blues
Best of Me,Anthony Hamilton,soul-blues
On & On,Erykah Badu,soul-blues
Don't Look Any Further,Dennis Edwards,soul-blues
Don't Leave Me This Way,Thelma Houston,soul-blues
"Cold, Cold Feeling",Albert Collins,soul-blues
Testify,Stevie Ray Vaughan,soul-blues
Untitled (How Does It Feel),D'Angelo,soul-blues
I'm Your Hoochie Coochie Man,Muddy Waters,soul-blues
Family Affair,Sly & The Family Stone,soul-blues
Ghetto Woman,B.B. King,soul-blues
When My Heart Beats Like a Hammer,Eric Clapton,soul-blues
Funny (But I Still Love You),Ray Charles,soul-blues
I Put A Spell On You,Buddy Guy,soul-blues
When The Levee Breaks,Memphis Minnie,soul-blues
Iceman,Albert Collins,soul-blues
Do I Love You (Indeed I Do),Frank Wilson,soul-blues
The Soul of a Man,Blind Willie Johnson,soul-blues
Big Legged Woman,Freddie King,soul-blues
Sinner's Prayer (with B.B. King),Ray Charles,soul-blues
The Only One,The Black Keys,soul-blues
Rehab,Amy Winehouse,soul-blues
Beggin,Frankie Valli & The Four Seasons,soul-blues
I'd Rather Go Blind,Joe Bonamassa,soul-blues
How You Like Me Now,The Heavy,soul-blues
Down In the Flood,The Derek Trucks Band,soul-blues
Come On In This House,Junior Wells,soul-blues
Fearless,Ana Popovic,soul-blues
Private Number,William Bell,soul-blues
I'm A Man,Bo Diddley,soul-blues
"You're The First, The Last, My Everything",Barry White,soul-blues
You Can't Be Beat,Howlin' Wolf,soul-blues
Someone Like You,Adele,soul-blues
A Change Is Gonna Come,Leela James,soul-blues
I'm Gonna Make You Love Me,Diana Ross & The Supremes,soul-blues
Tramp,Buddy Guy,soul-blues
I'll Be Around,The Spinners,soul-blues
Me And My Guitar,Freddie King,soul-blues
I Believe I'll Dust My Broom,Robert Johnson,soul-blues
Smoking Gun,Robert Cray,soul-blues
(My Eyes) Keep Me in Trouble,Muddy Waters,soul-blues
Stop! In The Name Of Love,The Supremes,soul-blues
The Love I Lost,Harold Melvin & The Blue Notes,soul-blues
Reasons,"Earth, Wind & Fire",soul-blues
Doo Wop (That Thing),Ms. Lauryn Hill,soul-blues
Good Morning Little School Girl,Muddy Waters,soul-blues
River Deep,Ike & Tina Turner,soul-blues
After Laughter (Comes Tears),Wendy Rene,soul-blues
Sloe Gin,Joe Bonamassa,soul-blues
He Can Only Hold Her,Amy Winehouse,soul-blues
Chain Gang,Sam Cooke,soul-blues
(Your Love Has Lifted Me) Higher and Higher,Otis Redding,soul-blues
Guess Who,B.B. King,soul-blues
Stayin' Alive,Bee Gees,soul-blues
Cannonball Shuffle,Robben Ford,soul-blues
Lifetime,Maxwell,soul-blues
Certainly,Erykah Badu,soul-blues
The Payback,James Brown,soul-blues
The Snake,Al Wilson,soul-blues
Down in Mexico,The Coasters,soul-blues
Slow Train,Joe Bonamassa,soul-blues
I'm So Excited,John Lee Hooker,soul-blues
Brown Eyed Girl,Van Morrison,soul-blues
Started Out With Nothin,Seasick Steve,soul-blues
P.D.A. (We Just Don't Care),John Legend,soul-blues
After Midnight,J.J. Cale,soul-blues
Smile At Me,Howlin' Wolf,soul-blues
Uptight (Everything's Alright),Stevie Wonder,soul-blues
Key To The Highway,Little Walter,soul-blues
Our Day Will Come,Amy Winehouse,soul-blues
Bring It On Home To Me,B.B. King,soul-blues
You Need Love,Muddy Waters,soul-blues
Who's Making Love,Johnnie Taylor,soul-blues
Never Can Say Goodbye,The Jackson 5,soul-blues
You Keep Me Hangin' On,The Supremes,soul-blues
Ain't Nobody Home,B.B. King,soul-blues
