name,artist,genre
The Pirate That Should Not Be,Rodrigo y Gabriela,soundtracks
Gollum's Villainy,Howard Shore,soundtracks
The Brethren Court,Hans Zimmer,soundtracks
Suite from Forrest Gump,Alan Silvestri,soundtracks
Armory,Daft Punk,soundtracks
Penthouse/Training,James Newton Howard,soundtracks
Éowyn's Dream,Howard Shore,soundtracks
Let It Go,Demi Lovato,soundtracks
Sons of Odin,Patrick Doyle,soundtracks
Lady,Styx,soundtracks
I Didn't Mean It,The Belle Brigade,soundtracks
We Built Our Own World,Hans Zimmer,soundtracks
Rules,Jayme Dee,soundtracks
The Secret Life Of Daydreams,Jean-Yves Thibaudet,soundtracks
"Star Wars, Episode IV ""A New Hope"": Main Theme",John Williams,soundtracks
Son Of A Preacher Man,Dusty Springfield,soundtracks
A Coronal of Silver and Gold,Howard Shore,soundtracks
Sister Rosetta,Noisettes,soundtracks
Strength And Honor,Hans Zimmer,soundtracks
First Class,Henry Jackman,soundtracks
Nature Boy,David Bowie,soundtracks
The Tomb of the Stewards,Howard Shore,soundtracks
Zanarkand (FINAL Fantasy X),Nobuo Uematsu,soundtracks
Mombasa,Hans Zimmer,soundtracks
Hakuna Matata,Nathan Lane,soundtracks
Spirited Away,Joe Hisaishi,soundtracks
Titanic Suite,James Horner,soundtracks
Mushaboom,Feist,soundtracks
The Passing of Théoden,Howard Shore,soundtracks
The End?,Hans Zimmer,soundtracks
Vampire,Kimya Dawson & Antsy Pants,soundtracks
One Day I'll Fly Away,Nicole Kidman,soundtracks
"The Good, The Bad And The Ugly",Ennio Morricone,soundtracks
Bioshock: The Ocean on his Shoulders,Garry Schyman,soundtracks
La redécouverte,Yann Tiersen,soundtracks
Tunnel Chase,Alan Silvestri,soundtracks
The Siege of Gondor,Howard Shore,soundtracks
For the First Time in Forever,Kristen Bell,soundtracks
"Main Theme (From ""Jurassic Park"")",John Williams,soundtracks
Mermaids,Hans Zimmer,soundtracks
"Becoming one of ""The People"" Becoming one with Neytiri",James Horner,soundtracks
J'y suis jamais allé,Yann Tiersen,soundtracks
Test Drive,John Powell,soundtracks
Hoist the Colours,Hans Zimmer,soundtracks
"Flightless Bird, American Mouth",Iron & Wine,soundtracks
"Climbing up ""Iknimaya",James Horner,soundtracks
Frozen Heart,Cast - Frozen,soundtracks
The Grace of Undómiel (feat. Renée Fleming),Howard Shore,soundtracks
I Don't Think Now Is the Best Time,Hans Zimmer,soundtracks
The Son of Flynn,Daft Punk,soundtracks
Elysium,Klaus Badelt,soundtracks
Enterprising Young Men,Michael Giacchino,soundtracks
La valse d'Amélie,Yann Tiersen,soundtracks
Back To The Future,"John Debney, Alan Silvestri, Royal Scottish National Orchestra",soundtracks
Paradox,Hans Zimmer,soundtracks
Allegiance to Denethor,Howard Shore,soundtracks
Moonlight Serenade,Klaus Badelt,soundtracks
The Emperor Is Dead,Lisa Gerrard,soundtracks
Elder Scrolls – Skyrim: Far Horizons,Crouch End Festival Chorus,soundtracks
Young And Beautiful,Lana Del Rey,soundtracks
Pan's Labyrinth Lullaby,Javier Navarrete,soundtracks
Time,Hans Zimmer,soundtracks
C.L.U.,Daft Punk,soundtracks
"Comptine d'un autre été, l'après-midi",Yann Tiersen,soundtracks
Hooked on a Feeling,Björn Skifs,soundtracks
The Pyre of Denethor,Howard Shore,soundtracks
Painted Sun in Abstract,Trent Reznor and Atticus Ross,soundtracks
It Will Rain,Bruno Mars,soundtracks
Fly,Ludovico Einaudi,soundtracks
Only An Act of True Love,Christophe Beck,soundtracks
Launch,Trevor Rabin,soundtracks
Spectres in the Fog,Hans Zimmer,soundtracks
"The Fellowship Reunited (feat. Sir James Galway, Viggo Mortensen and Renée Fleming)",Howard Shore,soundtracks
Hand Covers Bruise,Trent Reznor and Atticus Ross,soundtracks
Iron Man 3,Brian Tyler,soundtracks
Dies Mercurii I Martius,Hans Zimmer,soundtracks
Theme From Pirates Of The Caribbean: He's A Pirate,Movie Sounds Unlimited,soundtracks
The Eyes of the White Tower,Howard Shore,soundtracks
I'm Not That Girl,Stephen Schwartz,soundtracks
Adagio For TRON,Daft Punk,soundtracks
London,James Newton Howard,soundtracks
I See the Light,Mandy Moore,soundtracks
Am I Not Merciful?,Hans Zimmer,soundtracks
In Motion,Trent Reznor and Atticus Ross,soundtracks
The Journey to the Grey Havens (feat. Sir James Galway),Howard Shore,soundtracks
The bioluminescence of the night,James Horner,soundtracks
Come What May,Nicole Kidman,soundtracks
Across the Stars (Love Theme from Star Wars: Episode II),John Williams,soundtracks
Old Souls,Hans Zimmer,soundtracks
Lover Is Childlike,The Low Anthem,soundtracks
Arrival,Daft Punk,soundtracks
The Black Pearl,Klaus Badelt,soundtracks
The Mûmakil,Howard Shore,soundtracks
"Gonna Fly Now (Theme From ""Rocky"")",Bill Conti,soundtracks
Chevaliers De Sangreal,Hans Zimmer,soundtracks
The destruction of Hometree,James Horner,soundtracks
Protectors of the Earth,Thomas Bergersen,soundtracks
South of Heaven’s Chanting Mermaids,Rodrigo y Gabriela,soundtracks
"Master Meriadoc, Swordthain",Howard Shore,soundtracks
American Beauty,Thomas Newman,soundtracks
On Stranger Tides,Hans Zimmer,soundtracks
Learning The Skills,James Newton Howard,soundtracks
You Never Can Tell,Chuck Berry,soundtracks
Love Death Birth,Carter Burwell,soundtracks
Come Away To The Water,Maroon 5,soundtracks
The Green Dragon (feat. Billy Boyd and Dominic Monaghan),Howard Shore,soundtracks
Vagabond,Wolfmother,soundtracks
One Last Shot,Klaus Badelt,soundtracks
Chariots Of Fire,Vangelis,soundtracks
"Whisper of a Thrill (From ""Meet Joe Black"")",The City of Prague Philharmonic Orchestra,soundtracks
Disc Wars,Daft Punk,soundtracks
Le moulin,Yann Tiersen,soundtracks
The Land of Shadow,Howard Shore,soundtracks
Nara (Theme to Cold Case),E.S. Posthumus,soundtracks
Opening Titles,Hans Zimmer,soundtracks
Fall,Daft Punk,soundtracks
Metal Gear Solid: Sons of Liberty Theme,Harry Gregson-Williams,soundtracks
Journey to the Cross-roads,Howard Shore,soundtracks
Heart of Courage,Thomas Bergersen,soundtracks
This Land,Hans Zimmer,soundtracks
Elder Scrolls: Oblivion,Jeremy Soule,soundtracks
Theme From Schindler's List,John Williams,soundtracks
Dream Is Collapsing,Hans Zimmer,soundtracks
Walk The Plank,Klaus Badelt,soundtracks
Outlands,Daft Punk,soundtracks
The Hunger Games,James Newton Howard,soundtracks
Scorponok,Steve Jablonsky,soundtracks
One Simple Idea,Hans Zimmer,soundtracks
Dernhelm in Battle,Howard Shore,soundtracks
Cold,Aqualung,soundtracks
The Game Has Changed,Daft Punk,soundtracks
Mutant and Proud,Henry Jackman,soundtracks
A Familiar Taste,Trent Reznor and Atticus Ross,soundtracks
The Chalice Passed,Howard Shore,soundtracks
Rue's Farewell,James Newton Howard,soundtracks
Rectifier,Daft Punk,soundtracks
Northern Lights,Cider Sky,soundtracks
Jack Sparrow,Hans Zimmer,soundtracks
Alice's Theme,Danny Elfman,soundtracks
Hindi Sad Diamonds,John Leguizamo,soundtracks
Pas si simple,Yann Tiersen,soundtracks
The Road to Isengard,Howard Shore,soundtracks
"Main Title (From ""Superman"")",John Williams,soundtracks
Horn Of Plenty,James Newton Howard,soundtracks
Your Song,Ewan McGregor,soundtracks
Rinzler,Daft Punk,soundtracks
See You Tomorrow,John Powell,soundtracks
To Zuccabar,Hans Zimmer,soundtracks
Treason,Christophe Beck,soundtracks
Romantic Flight,John Powell,soundtracks
Patricide,Hans Zimmer,soundtracks
End of Line,Daft Punk,soundtracks
A Far Green Country,Howard Shore,soundtracks
I've Got a Dream,Mandy Moore,soundtracks
Do You Want to Build a Snowman?,Kristen Bell,soundtracks
Coconut,Harry Nilsson,soundtracks
The Houses of Healing (feat. Liv Tyler),Howard Shore,soundtracks
Una Mattina,Ludovico Einaudi,soundtracks
Dream Within a Dream,Hans Zimmer,soundtracks
The Batman Theme,Danny Elfman,soundtracks
Sorrow,Lisa Gerrard,soundtracks
Derezzed,Daft Punk,soundtracks
Healing Katniss,James Newton Howard,soundtracks
The Medallion Calls,Klaus Badelt,soundtracks
The Palantír,Howard Shore,soundtracks
Whiteout,Christophe Beck,soundtracks
Married Life,Michael Giacchino,soundtracks
Blood Ritual,Klaus Badelt,soundtracks
Progeny,Hans Zimmer,soundtracks
Personality Goes A Long Way,John Travolta,soundtracks
"Love Theme From ""The Godfather""",Nino Rota,soundtracks
Leaving Netherfield,Jean-Yves Thibaudet,soundtracks
Arrival to Earth,Steve Jablonsky,soundtracks
Circle of Life,Carmen Twillie,soundtracks
Performance Issues,Alan Silvestri,soundtracks
When Will My Life Begin?,Mandy Moore,soundtracks
The Ecstasy Of Gold,Ennio Morricone,soundtracks
Mutiny,Hans Zimmer,soundtracks
Game Of Thrones,Ramin Djawadi,soundtracks
World of Warcraft: Seasons of War,Jason Hayes,soundtracks
The Living Sculptures Of Pemberley,English Chamber Orchestra,soundtracks
